indicator_id,indicator_type,indicator_value,threat_name,threat_actor,confidence,severity
IOC0039,Domain,api-5510.info,Data Exfiltration,Unknown,Low,High
IOC0040,URL,http://service-7011.net/api/v1/payload.bin,Data Exfiltration,Unknown,Medium,Medium
IOC0041,IP Address,170.174.119.233,Backdoor,TeamTNT,High,High
IOC0042,IP Address,175.128.42.208,Botnet Recruitment,Kinsing,Low,Medium
IOC0043,URL,http://service-1601.info/api/v1/payload.bin,Phishing Campaign,Unknown,Medium,Critical
IOC0044,IP Address,199.32.191.80,DDoS Botnet,Unknown,Medium,Medium
IOC0045,File Hash (SHA256),b8df91c07dfeefc341de03674ab7c6ac86402dadc292f2f95a52058a96468a42,Malware Download,Emotet,Low,Critical
IOC0046,IP Address,6.84.113.168,Cryptominer,Lazarus Group,Critical,Low
IOC0047,Domain,update-6811.xyz,Backdoor,Unknown,High,Critical
IOC0048,IP Address,32.207.38.151,Command and Control,TrickBot,Medium,Medium
IOC0049,IP Address,124.42.218.244,Trojan,Unknown,Medium,Medium
IOC0050,File Hash (SHA256),763e899f7476106427aa1b7b8dc64032922105b5862fbb287c5617cf251e700d,Credential Stuffing Campaign,Unknown,Medium,High
IOC0051,URL,http://cdn-294.com/api/v1/payload.bin,Command and Control,Unknown,Critical,Medium
IOC0052,IP Address,17.47.105.92,Ransomware,Unknown,Low,Critical
IOC0053,URL,http://cloud-5408.com/api/v1/payload.bin,Malware Download,Emotet,High,Low
IOC0054,IP Address,153.56.57.170,Malware Download,Unknown,Medium,High
IOC0055,IP Address,141.92.93.106,Phishing Campaign,DarkSide,Low,High
IOC0056,Domain,update-4734.xyz,Ransomware,Conti,High,Medium
IOC0057,File Hash (SHA256),e30124c7cf79f9a9da6c6abfb1f5197c8832cfdd3f637b724d5053ce6a425f11,Info Stealer,Unknown,High,Low
IOC0058,Email Address,admin509@secure-2745.com,Ransomware,LockBit,Medium,High
IOC0059,URL,http://login-4468.net/api/v1/payload.bin,Web Shell,TeamTNT,Critical,High
IOC0060,Domain,service-7802.info,Command and Control,Unknown,Medium,High
IOC0061,File Hash (SHA256),8e578b7d6418699354012de7755234a19d1be7a667e8f1924baeb7d94d5f2b76,Command and Control,Unknown,Medium,High
IOC0062,File Hash (SHA256),61cb8b2b4e5f5763a223e947986b48397ef5f6b839fc641e842ad5a72fe17d93,Supply Chain Compromise,Hive,High,High
IOC0063,IP Address,85.46.70.32,Data Exfiltration,Kinsing,High,Critical
IOC0064,IP Address,206.252.121.167,Backdoor,Unknown,High,Low
IOC0065,IP Address,94.113.64.235,Cryptominer,APT29,High,High
IOC0066,Domain,secure-4941.xyz,Supply Chain Compromise,Unknown,Low,Medium
IOC0067,Email Address,security186@update-5604.com,Malware Download,LockBit,Medium,Medium
IOC0068,IP Address,56.109.234.2,Command and Control,DarkSide,Medium,High
IOC0069,IP Address,131.31.235.232,Malware Download,Kinsing,Medium,High
IOC0070,IP Address,12.219.61.191,Backdoor,Unknown,Medium,Medium
IOC0071,Email Address,no-reply260@api-5193.info,Botnet Recruitment,Unknown,Medium,Medium
IOC0072,Domain,cdn-6249.net,Botnet Recruitment,Unknown,High,Medium
IOC0073,Domain,service-5838.info,Malware Download,Kinsing,Medium,High
IOC0074,File Hash (SHA256),cfadfc1c40d4fa768ee5c942ae09c3b9565cda2bdc86e9cc06b626fab526ded7,Ransomware,LockBit,High,Low
IOC0075,Domain,api-4313.com,DDoS Botnet,FIN7,High,High
IOC0076,IP Address,122.185.231.3,Malware Download,Lazarus Group,Low,High
IOC0077,IP Address,107.234.250.247,Trojan,Unknown,Low,Medium
IOC0078,File Hash (SHA256),a76d4d2bdb81851b7ac7ec2336c3c8e66389e09ea9f8e5b783846226c7cf9c05,Phishing Campaign,Unknown,High,Low
IOC0079,IP Address,208.95.58.254,Ransomware,Unknown,Medium,Medium
IOC0080,Domain,secure-3270.xyz,Botnet Recruitment,TrickBot,Low,High
IOC0081,Email Address,support627@secure-1384.net,Cryptominer,Unknown,Medium,High
IOC0082,IP Address,139.183.129.181,Info Stealer,TrickBot,Low,Medium
IOC0083,Domain,service-1013.xyz,Cryptominer,Emotet,Low,Medium
IOC0084,File Hash (SHA256),3e0aa5dd39e8b89bf99b37ad4ffaa0209fdcf68993d36812157871a8d709e5c7,Command and Control,Unknown,Medium,Medium
IOC0085,Domain,cloud-5977.com,Botnet Recruitment,Unknown,Critical,High
IOC0086,Email Address,security357@api-696.com,Command and Control,Unknown,Low,Medium
IOC0087,Email Address,no-reply741@secure-7228.info,DDoS Botnet,Unknown,Low,High
IOC0088,IP Address,84.6.53.125,Cryptominer,TrickBot,High,Medium
IOC0089,Domain,login-3254.info,Trojan,Unknown,High,Low
IOC0090,Domain,service-2026.xyz,Backdoor,Unknown,Low,Low
IOC0091,Domain,cloud-6750.xyz,Data Exfiltration,Unknown,Low,High
IOC0092,IP Address,11.223.98.70,Info Stealer,Unknown,Medium,Critical
IOC0093,File Hash (SHA256),f3f9b4fd36d660c1073bc596ac159e197da89a8b3caaed8198fef25a52dafc3e,Backdoor,Unknown,Medium,Low
IOC0094,IP Address,92.223.130.116,Ransomware,Unknown,High,Medium
IOC0095,File Hash (SHA256),e5da46f95f67c80e022ea45507aca22d2aa98b42274948b7f8696026a235f350,Malware Download,Unknown,High,Critical
IOC0096,Domain,service-4522.info,Trojan,Unknown,Medium,High
IOC0097,Email Address,security106@api-2582.xyz,Supply Chain Compromise,APT28,Critical,Medium
IOC0098,IP Address,53.235.162.8,Command and Control,BlackCat,Low,High
IOC0099,IP Address,125.69.138.236,Botnet Recruitment,Unknown,Medium,High
IOC0100,IP Address,172.42.213.169,Cryptominer,Unknown,High,Medium
IOC0101,IP Address,218.10.117.126,Backdoor,DarkSide,High,Low
IOC0102,Domain,api-8253.info,Trojan,Unknown,Low,Medium
IOC0103,IP Address,70.200.144.122,Command and Control,Unknown,Medium,High
IOC0104,Email Address,billing384@secure-6298.com,Malware Download,Lazarus Group,Medium,High
IOC0105,File Hash (SHA256),babec0f59904c388cc856b3a56fa593ff69fd901e591700696578920a2fa9e8a,Credential Stuffing Campaign,FIN7,Medium,High
IOC0106,IP Address,206.46.79.213,Command and Control,LockBit,Medium,High
IOC0107,File Hash (SHA256),11155f60408960f03a28b8395560b785d12f119498c60335e4f6149ea8247809,Trojan,TeamTNT,Medium,High
IOC0108,File Hash (SHA256),e8cd4cb6229c6866b2254965eaa5399d4d3b50640203fd0c7c9671ddb6ef741b,Malware Download,Hive,Low,Medium
IOC0109,IP Address,12.217.255.186,Trojan,Unknown,Low,High
IOC0110,IP Address,40.50.82.104,Trojan,Unknown,Medium,Low
IOC0111,File Hash (SHA256),a891f28986832ff78b854db3d34d47128979e85541626523d409181e599d7898,Backdoor,BlackCat,Low,High
IOC0112,File Hash (SHA256),19b3d7b78b41a47dd7bb3bd53b8406b79ff276f7a7996b29389c749932bf7a1c,Malware Download,Unknown,Low,Low
IOC0113,IP Address,44.158.107.91,Malware Download,Unknown,High,Medium
IOC0114,IP Address,94.145.148.195,Info Stealer,Emotet,Critical,Medium
IOC0115,Domain,api-4951.net,Trojan,Unknown,High,Low
IOC0116,File Hash (SHA256),092980554a56dbb2b70950c0378fa4446647c94bc4e8e129e8539852ad4b4f07,Malware Download,Unknown,High,High
IOC0117,IP Address,175.40.23.189,Botnet Recruitment,Unknown,Low,High
IOC0118,Domain,update-2807.com,Supply Chain Compromise,FIN7,Critical,Critical
IOC0119,File Hash (SHA256),1795bf5fc1c1b5d8b44d423c173df8a120ab71e1ab76dfbf262793ac4c8aa902,Trojan,Unknown,Medium,Low
IOC0120,IP Address,87.170.48.47,Command and Control,Unknown,Critical,High
IOC0121,IP Address,158.12.188.177,Phishing Campaign,Conti,Medium,Low
IOC0122,File Hash (SHA256),00317684c3a5c85647b544efe8cc079ca67144471962fbcf18b3df10692ee3ba,Backdoor,BlackCat,High,High
IOC0123,IP Address,183.44.9.87,Cryptominer,DarkSide,Critical,Low
IOC0124,IP Address,210.6.116.110,Data Exfiltration,Unknown,Low,Critical
IOC0125,IP Address,193.131.239.104,Credential Stuffing Campaign,Unknown,Low,High
IOC0126,IP Address,129.121.219.68,Trojan,Unknown,High,Medium
IOC0127,Email Address,support247@cdn-6451.xyz,Supply Chain Compromise,Unknown,Medium,Medium
IOC0128,IP Address,69.119.48.207,Credential Stuffing Campaign,Unknown,Medium,Medium
IOC0129,IP Address,191.163.30.81,Botnet Recruitment,APT29,Low,Critical
IOC0130,IP Address,119.165.122.234,Web Shell,FIN7,Medium,Medium
IOC0131,Email Address,no-reply529@cdn-7526.net,Phishing Campaign,Unknown,High,High
IOC0132,IP Address,48.215.137.135,Cryptominer,Conti,High,High
IOC0133,URL,http://login-2983.info/api/v1/payload.bin,Supply Chain Compromise,Unknown,High,Medium
IOC0134,IP Address,59.12.207.118,Malware Download,Kinsing,Medium,Critical
IOC0135,Email Address,support323@service-9398.xyz,Data Exfiltration,Unknown,Low,Critical
IOC0136,File Hash (SHA256),2571176a09aa58fbb72b05bedde65b7c5d4faf40fd371c2254401962c0db7dd0,Credential Stuffing Campaign,APT28,Low,Low
IOC0137,Domain,login-7213.com,Botnet Recruitment,Emotet,Medium,Medium
IOC0138,Email Address,support870@cdn-898.xyz,Credential Stuffing Campaign,Unknown,Medium,Low
IOC0139,IP Address,129.152.23.95,Backdoor,APT29,High,High
IOC0140,IP Address,35.10.242.103,Info Stealer,APT29,Critical,Medium
IOC0141,Domain,service-6828.net,Backdoor,TeamTNT,Low,Low
IOC0142,Domain,login-590.net,Backdoor,LockBit,High,Medium
IOC0143,IP Address,122.30.113.191,Phishing Campaign,Emotet,High,High
IOC0144,Email Address,support455@login-3912.com,Web Shell,Unknown,High,High
IOC0145,Domain,secure-508.net,Cryptominer,APT29,High,High
IOC0146,IP Address,22.38.180.84,Credential Stuffing Campaign,Unknown,Medium,Medium
IOC0147,IP Address,120.15.5.46,Malware Download,Unknown,Medium,High
IOC0148,Domain,cdn-8852.xyz,Command and Control,TrickBot,Medium,Low
IOC0149,File Hash (SHA256),ae42af972cbd76bb75f5de61db556bdb4ce0a098d31664bf9a695e224c69e08d,Info Stealer,Unknown,Medium,High
IOC0150,Domain,login-7794.com,Info Stealer,Unknown,Medium,High
IOC0151,IP Address,7.225.125.175,Cryptominer,Unknown,Critical,Medium
IOC0152,IP Address,89.161.94.138,Data Exfiltration,Emotet,Medium,Critical
IOC0153,IP Address,59.79.214.133,Backdoor,Unknown,Medium,Critical
IOC0154,Email Address,support323@cloud-8941.net,Cryptominer,APT28,High,Medium
IOC0155,IP Address,185.195.199.50,Ransomware,Unknown,Low,Medium
IOC0156,Domain,service-8697.xyz,Data Exfiltration,Lazarus Group,Low,Low
IOC0157,URL,http://update-7428.xyz/api/v1/payload.bin,Trojan,Unknown,Critical,Critical
IOC0158,Domain,login-3653.xyz,Trojan,Unknown,High,Medium
IOC0159,Domain,api-8903.xyz,Supply Chain Compromise,Unknown,Critical,Medium
IOC0160,Domain,cloud-8666.net,Botnet Recruitment,Kinsing,High,High
IOC0161,File Hash (SHA256),e5e36a72de25cbd4065f3c34d4c9284d530564d98089fdd1cd5a305e1da7fe8f,Web Shell,Unknown,Medium,Low
IOC0162,File Hash (SHA256),78dac42f5d30c6c6601dc5f3fec60c7cdc26a85700be7e878c07eda22de4c670,Phishing Campaign,Unknown,Low,High
IOC0163,IP Address,171.202.138.119,Trojan,Conti,Low,High
IOC0164,Domain,api-3716.xyz,Phishing Campaign,FIN7,Critical,Low
IOC0165,Domain,update-2044.xyz,Data Exfiltration,Unknown,Medium,Low
IOC0166,Email Address,admin916@login-6814.net,Cryptominer,APT29,Low,High
IOC0167,File Hash (SHA256),20c156829fa026da5d73c26d9ac3438da2f008e53e8eed55fb3f24aa77bd07e9,Data Exfiltration,Unknown,Low,Critical
IOC0168,URL,http://service-8709.info/api/v1/payload.bin,Info Stealer,Conti,Medium,Critical
IOC0169,IP Address,158.109.200.118,Cryptominer,Conti,High,High
IOC0170,IP Address,70.85.190.71,Supply Chain Compromise,Unknown,Medium,Medium
IOC0171,File Hash (SHA256),3eab799e81f874ebced3fd8faa2a2a132d79789f206cd129fa08b237f3993f45,Web Shell,Unknown,High,High
IOC0172,IP Address,95.119.51.19,Info Stealer,Unknown,Medium,Low
IOC0173,IP Address,137.213.255.135,Backdoor,Unknown,Critical,High
IOC0174,File Hash (SHA256),22fcdbea03b613064b2e5fda9be8a00469fbdae38be830bad3a27ae03540f418,Backdoor,FIN7,Medium,High
IOC0175,Email Address,security250@login-5982.xyz,Info Stealer,Unknown,High,High
IOC0176,IP Address,166.212.218.45,Data Exfiltration,Unknown,Medium,Medium
IOC0177,IP Address,169.99.127.15,Cryptominer,FIN7,Low,Medium
IOC0178,IP Address,19.22.70.14,Data Exfiltration,Unknown,High,High
IOC0179,IP Address,67.173.67.135,Phishing Campaign,Unknown,High,High
IOC0180,IP Address,58.215.2.103,Phishing Campaign,Unknown,Low,Medium
IOC0181,IP Address,137.117.44.104,Ransomware,Unknown,Medium,Medium
IOC0182,IP Address,43.192.135.48,Web Shell,BlackCat,Low,High
IOC0183,File Hash (SHA256),224cd53fcf4e59ab56be7d090822226be7289d6b4e2fc4712f9c8ec03bc2d7bb,Malware Download,Kinsing,Critical,High
IOC0184,IP Address,190.228.141.147,Ransomware,Unknown,Low,Critical
IOC0185,URL,http://cdn-5035.xyz/api/v1/payload.bin,Trojan,Unknown,Medium,Low
IOC0186,File Hash (SHA256),9a9165b3b5f0e64e5c636395133ee67942054950ea600a18e5643d4392f83f4c,Botnet Recruitment,Unknown,Low,Critical
IOC0187,Email Address,no-reply905@secure-6943.xyz,Info Stealer,Unknown,High,High
IOC0188,URL,http://login-3891.net/api/v1/payload.bin,Cryptominer,Unknown,High,High
IOC0189,IP Address,104.222.173.118,Backdoor,FIN7,High,Medium
IOC0190,Domain,api-8464.net,Malware Download,Lazarus Group,Critical,Low
IOC0191,IP Address,171.44.207.85,Data Exfiltration,Unknown,Medium,Low
IOC0192,IP Address,162.70.208.235,Malware Download,FIN7,Medium,Medium
IOC0193,IP Address,94.236.248.157,Backdoor,Unknown,Medium,High
IOC0194,IP Address,146.85.40.135,Backdoor,Emotet,High,Medium
IOC0195,URL,http://service-3607.com/api/v1/payload.bin,Cryptominer,TrickBot,Low,High
IOC0196,IP Address,120.175.125.63,Cryptominer,Unknown,Low,Medium
IOC0197,Domain,service-241.com,Trojan,Unknown,Medium,High
IOC0198,Email Address,admin362@update-5437.net,Web Shell,Unknown,Low,High
IOC0199,IP Address,130.44.50.223,Botnet Recruitment,LockBit,Medium,Medium
IOC0200,File Hash (SHA256),d501fdeed70264c987f74a0529679f8a6b11b46dd62ae9ee18604abf4ca7cabb,Info Stealer,FIN7,Medium,High
IOC0201,File Hash (SHA256),fd088670e2a8db3b70280920c15b9d47bd88a35f630c89f535cd6ab8bf4b855e,Cryptominer,Unknown,Medium,Critical
IOC0202,Domain,service-3920.info,Botnet Recruitment,DarkSide,Low,High
IOC0203,IP Address,188.76.239.185,Phishing Campaign,Unknown,Low,Medium
IOC0204,Email Address,admin34@secure-2718.info,Botnet Recruitment,Unknown,Critical,High
IOC0205,IP Address,63.126.117.177,Data Exfiltration,Unknown,Critical,Medium
IOC0206,URL,http://secure-3625.xyz/api/v1/payload.bin,Malware Download,Unknown,Low,Medium
IOC0207,Domain,secure-1656.info,Botnet Recruitment,LockBit,Medium,Low
IOC0208,IP Address,165.21.70.223,Command and Control,Unknown,Low,Low
IOC0209,Email Address,admin389@api-1317.net,Malware Download,Unknown,Medium,Critical
IOC0210,URL,http://secure-4893.xyz/api/v1/payload.bin,Backdoor,Conti,Medium,Critical
IOC0211,Domain,service-2288.com,Trojan,Kinsing,High,High
IOC0212,URL,http://service-4289.info/api/v1/payload.bin,Credential Stuffing Campaign,Unknown,Medium,High
IOC0213,IP Address,196.212.250.61,DDoS Botnet,Unknown,Medium,Medium
IOC0214,File Hash (SHA256),94c09afcce3b70cb2f2bf2b273c4bca2ceb8c4613f74b5c1c145fa1823649956,Data Exfiltration,TrickBot,Low,Medium
IOC0215,Domain,cdn-5529.com,Malware Download,Unknown,Low,Medium
IOC0216,IP Address,103.64.84.16,Info Stealer,Unknown,High,Low
IOC0217,Domain,api-669.net,Supply Chain Compromise,TrickBot,Low,Low
IOC0218,Email Address,support225@service-3896.info,DDoS Botnet,Unknown,High,Low
IOC0219,IP Address,116.128.61.106,Cryptominer,Unknown,Medium,High
IOC0220,File Hash (SHA256),a00ad970787532539c8617e039d748e4885742d299aed7c6df9c3e6b4e9f4a94,Web Shell,Unknown,Critical,High
IOC0221,IP Address,178.102.14.228,Credential Stuffing Campaign,Unknown,Critical,Low
IOC0222,IP Address,222.122.145.13,Command and Control,Lazarus Group,Critical,Low
IOC0223,Email Address,admin370@cdn-2776.xyz,Data Exfiltration,TeamTNT,High,Low
IOC0224,Domain,secure-4257.net,Malware Download,Unknown,Low,High
IOC0225,IP Address,135.17.174.79,Web Shell,Unknown,Medium,Medium
IOC0226,File Hash (SHA256),d94a95c834ad6adb3c61689df6f9f4e5e057ccd6456d1af3e6d14d40ab474746,Command and Control,Unknown,High,High
IOC0227,IP Address,155.43.56.144,Supply Chain Compromise,Lazarus Group,Medium,Medium
IOC0228,IP Address,210.143.98.230,DDoS Botnet,Unknown,Medium,Low
IOC0229,File Hash (SHA256),413f64aad6bdbae9d9c3faf145c92285ae2e822f37d2119550e09c4b2c96a732,Info Stealer,Unknown,High,Medium
IOC0230,IP Address,153.178.115.161,Command and Control,BlackCat,High,Low
IOC0231,File Hash (SHA256),53c27634ca7ae05578edbfb931a8d6dec2e35dc201fcb54542d821e0906b3ede,Supply Chain Compromise,Unknown,Medium,High
IOC0232,File Hash (SHA256),a4825c538b0d4a71f9bd67cde02797fb141881394f6e14e63c4a216768e16bc2,Supply Chain Compromise,Kinsing,Medium,Low
IOC0233,IP Address,140.164.13.245,Phishing Campaign,DarkSide,Medium,High
IOC0234,IP Address,203.152.104.42,DDoS Botnet,Hive,Medium,Medium
IOC0235,Email Address,security226@secure-3088.com,DDoS Botnet,APT28,Critical,Medium
IOC0236,IP Address,107.18.121.114,Cryptominer,Unknown,High,Medium
IOC0237,IP Address,90.26.164.24,Info Stealer,Unknown,Medium,Medium
IOC0238,Domain,cdn-5116.xyz,Trojan,Unknown,Medium,High
IOC0239,IP Address,37.106.211.85,Phishing Campaign,Unknown,Medium,Critical
IOC0240,Domain,api-8245.info,Web Shell,Unknown,Medium,Medium
IOC0241,IP Address,182.148.133.22,DDoS Botnet,Unknown,Low,High
IOC0242,File Hash (SHA256),7dd8d38109785daa8289d9ece99f1768fd2837d2836615512689f427d1e65abc,Phishing Campaign,Unknown,Medium,High
IOC0243,IP Address,104.37.220.114,Supply Chain Compromise,Unknown,Medium,Medium
IOC0244,URL,http://service-9268.com/api/v1/payload.bin,Backdoor,Unknown,Medium,Critical
IOC0245,Email Address,billing785@login-4895.net,Backdoor,BlackCat,Low,Low
IOC0246,Domain,secure-6267.com,Command and Control,Hive,Critical,Low
IOC0247,URL,http://api-9954.xyz/api/v1/payload.bin,Ransomware,Hive,Medium,Medium
IOC0248,IP Address,76.113.24.180,Cryptominer,Unknown,Low,High
IOC0249,Domain,cdn-4667.info,Web Shell,FIN7,High,Medium
IOC0250,IP Address,176.89.128.63,Trojan,Unknown,High,Medium
IOC0251,IP Address,79.150.12.80,Data Exfiltration,Unknown,High,Low
IOC0252,IP Address,211.33.5.79,Supply Chain Compromise,Unknown,Low,Medium
IOC0253,Email Address,security509@cloud-6198.com,Supply Chain Compromise,Unknown,Medium,Low
IOC0254,Email Address,security110@service-3289.com,Malware Download,BlackCat,Low,High
IOC0255,URL,http://api-9082.net/api/v1/payload.bin,DDoS Botnet,Unknown,Medium,Critical
IOC0256,IP Address,38.244.35.142,Cryptominer,Unknown,Low,High
IOC0257,Domain,login-1600.com,Ransomware,TeamTNT,Medium,Medium
IOC0258,IP Address,19.235.67.43,Supply Chain Compromise,BlackCat,High,Medium
IOC0259,URL,http://cloud-9185.com/api/v1/payload.bin,Web Shell,Emotet,High,Medium
IOC0260,File Hash (SHA256),fd47cd2d29a0dc3912579fc838c6bcbf0490300eae56410dd93021e0088e1d9c,Backdoor,Unknown,Medium,Low
IOC0261,File Hash (SHA256),dc64a7b8ccdeb7f807d931e666d4728a4b313886e1b75074253d1a9f36df3186,Botnet Recruitment,Unknown,Medium,Medium
IOC0262,Domain,login-6446.net,Trojan,LockBit,Low,Critical
IOC0263,Domain,update-445.net,Botnet Recruitment,Kinsing,Medium,Low
IOC0264,Email Address,security426@cloud-145.info,Phishing Campaign,Unknown,Medium,Medium
IOC0265,IP Address,127.199.170.37,Botnet Recruitment,FIN7,Low,Critical
IOC0266,IP Address,53.169.64.86,DDoS Botnet,DarkSide,Medium,Medium
IOC0267,Email Address,admin222@service-732.xyz,Backdoor,Unknown,Critical,Medium
IOC0268,Domain,cloud-7725.xyz,Data Exfiltration,TeamTNT,Low,Medium
IOC0269,URL,http://secure-5489.xyz/api/v1/payload.bin,Info Stealer,Hive,High,High
IOC0270,Domain,update-174.xyz,Command and Control,TeamTNT,Critical,Low
IOC0271,IP Address,143.214.135.232,Web Shell,Unknown,High,Low
IOC0272,IP Address,48.6.196.30,Malware Download,Unknown,Medium,Low
IOC0273,IP Address,50.247.177.235,Phishing Campaign,Unknown,Low,Medium
IOC0274,IP Address,158.179.32.167,Malware Download,APT29,Low,Medium
IOC0275,IP Address,135.176.88.184,Malware Download,Unknown,High,Medium
IOC0276,Domain,service-4296.net,DDoS Botnet,FIN7,Critical,Low
IOC0277,Email Address,admin487@cloud-4453.net,Phishing Campaign,Unknown,High,Medium
IOC0278,Domain,secure-5965.xyz,Command and Control,APT28,Low,Medium
IOC0279,File Hash (SHA256),0a8e0a1cd5449d475902719e4fe39ab2ceb7b85e92a1bd73d003296f51309d1c,Credential Stuffing Campaign,Unknown,High,Medium
IOC0280,Domain,secure-1439.net,DDoS Botnet,Conti,Low,Critical
IOC0281,IP Address,175.180.35.234,Command and Control,Unknown,Critical,High
IOC0282,IP Address,163.178.241.202,Web Shell,Unknown,Medium,Low
IOC0283,Domain,service-8577.net,Credential Stuffing Campaign,DarkSide,Low,High
IOC0284,Domain,cloud-6950.com,Botnet Recruitment,Unknown,Medium,High
IOC0285,Domain,service-5967.net,Web Shell,Unknown,High,Medium
IOC0286,IP Address,194.37.57.213,Malware Download,TrickBot,Medium,Low
IOC0287,File Hash (SHA256),de2de5694f13383911af1a1be88b31ae203b33d38832515f25330f4110e48d42,Ransomware,Unknown,High,High
IOC0288,URL,http://api-8638.net/api/v1/payload.bin,Credential Stuffing Campaign,FIN7,High,Critical
IOC0289,File Hash (SHA256),a22ea1e2860fd81c17f50c6d2aef5ce616527d9c355cf44aa75d66f41a6d4c93,Web Shell,Emotet,High,Medium
IOC0290,IP Address,193.60.37.121,Command and Control,Unknown,Low,Critical
IOC0291,Domain,cdn-7454.xyz,Data Exfiltration,APT28,Medium,Medium
IOC0292,IP Address,87.128.7.24,Data Exfiltration,Unknown,Low,Medium
IOC0293,Domain,api-3250.com,Backdoor,Unknown,Medium,Low
IOC0294,File Hash (SHA256),db3b77ec25a5b0cb2e88524f12017957ebd16586ea1f78265219639c62fc37c8,Backdoor,Lazarus Group,Critical,Low
IOC0295,IP Address,42.61.136.15,Backdoor,BlackCat,Critical,High
IOC0296,URL,http://update-7092.xyz/api/v1/payload.bin,Credential Stuffing Campaign,Unknown,Medium,Critical
IOC0297,Email Address,security216@api-2632.com,Data Exfiltration,APT28,Low,Low
IOC0298,IP Address,17.163.164.139,Botnet Recruitment,Unknown,High,Critical
IOC0299,URL,http://api-1802.xyz/api/v1/payload.bin,Info Stealer,Unknown,Low,Critical
IOC0300,File Hash (SHA256),b7d2597c50c19a5281d7b5eac7c8c8a4238d936e951d829855c75bbbd665f9cd,Supply Chain Compromise,LockBit,Medium,Medium
IOC0301,Domain,cloud-5399.info,Command and Control,Unknown,Medium,Medium
IOC0302,Email Address,admin841@cdn-1599.com,Malware Download,Emotet,High,Medium
IOC0303,Email Address,no-reply746@secure-6184.xyz,DDoS Botnet,DarkSide,Low,Medium
IOC0304,IP Address,183.191.188.6,Malware Download,Unknown,High,Medium
