vulnerability_id,cve_id,vulnerability_name,severity,cvss_score,affected_asset,patch_available,status
VUL0063,CVE-2023-25707,Denial of Service,Medium,5.2,SUP-CLD-003,Yes,Mitigated
VUL0064,CVE-2025-16902,Path Traversal,Medium,5.5,IT-SRV-006,No,Accepted Risk
VUL0065,CVE-2019-4109,Improper Input Validation,Medium,5.6,HR-SRV-004,Yes,Patched
VUL0066,CVE-2021-36291,Server-Side Request Forgery (SSRF),High,7.3,SALES-CLD-003,No,Open
VUL0067,CVE-2022-24443,Cross-Site Scripting (XSS),Medium,5.7,MKT-SRV-005,Yes,Open
VUL0068,CVE-2019-35422,Denial of Service,Medium,5.2,ENG-WKS-008,Yes,Patched
VUL0069,CVE-2023-11106,Authentication Bypass,Critical,9.7,FIN-SRV-008,Yes,Patched
VUL0070,CVE-2023-23497,Outdated TLS/SSL Configuration,Medium,5.9,SALES-SRV-001,Yes,Open
VUL0071,CVE-2019-21357,Outdated TLS/SSL Configuration,Medium,4.4,SUP-SRV-007,No,Patched
VUL0072,CVE-2025-34349,Server-Side Request Forgery (SSRF),High,7.6,OPS-WKS-017,Yes,Patched
VUL0073,CVE-2023-13327,Server-Side Request Forgery (SSRF),Medium,6.5,SALES-SRV-002,Yes,Open
VUL0074,CVE-2023-42374,Cross-Site Scripting (XSS),Medium,6.0,Firewall,No,Open
VUL0075,CVE-2024-37236,SQL Injection Vulnerability,Critical,9.6,LEG-WKS-008,No,Patched
VUL0076,CVE-2024-2935,Authentication Bypass,High,7.9,LEG-CLD-006,Yes,Open
VUL0077,CVE-2024-35831,Outdated TLS/SSL Configuration,Medium,6.5,OPS-LAP-005,Yes,Patched
VUL0078,CVE-2020-11274,Outdated TLS/SSL Configuration,Medium,5.9,IT-LAP-001,Yes,Open
VUL0079,CVE-2023-33140,Cross-Site Request Forgery (CSRF),Medium,5.5,OPS-WKS-001,Yes,Patched
VUL0080,CVE-2023-22156,Privilege Escalation Flaw,High,8.9,FIN-SRV-006,Yes,Open
VUL0081,CVE-2024-7517,Remote Code Execution,Critical,9.0,FIN-MOB-006,Yes,Open
VUL0082,CVE-2020-26951,Cross-Site Scripting (XSS),Medium,5.3,MKT-NET-005,Yes,Open
VUL0083,CVE-2020-39469,Information Disclosure,Medium,4.8,IT-CLD-002,Yes,Patched
VUL0084,CVE-2022-5425,Denial of Service,Medium,6.7,FIN-LAP-009,No,Open
VUL0085,CVE-2021-27122,Weak SMB Configuration,Medium,5.0,MKT-CLD-001,Yes,Open
VUL0086,CVE-2022-13225,SQL Injection Vulnerability,Critical,9.7,ENG-NET-003,Yes,Open
VUL0087,CVE-2021-35979,Missing Encryption of Sensitive Data,Medium,5.3,FIN-SRV-012,Yes,Open
VUL0088,CVE-2025-24019,Unpatched Third-Party Library,Medium,6.1,MKT-NET-001,Yes,Open
VUL0089,CVE-2022-3288,Improper Input Validation,Medium,5.9,HR-NET-004,No,Open
VUL0090,CVE-2020-7070,Authentication Bypass,High,8.1,HR-IOT-002,Yes,Patched
VUL0091,CVE-2025-16740,Information Disclosure,Medium,4.9,OPS-SRV-002,No,Open
VUL0092,CVE-2023-14635,Insecure Deserialization,High,8.9,OPS-SRV-008,Yes,Mitigated
VUL0093,CVE-2024-9581,Improper Input Validation,Medium,5.7,MKT-SRV-007,Yes,Open
VUL0094,CVE-2020-27486,Outdated TLS/SSL Configuration,Medium,4.5,SALES-WKS-018,Yes,Patched
VUL0095,CVE-2023-18721,Missing Encryption of Sensitive Data,Medium,4.6,SUP-SRV-008,Yes,Open
VUL0096,CVE-2022-47576,Remote Code Execution,Critical,9.5,OPS-NET-002,No,Open
VUL0097,CVE-2024-8140,Remote Code Execution,Critical,9.3,LEG-LAP-005,No,Patched
VUL0098,CVE-2020-5319,Insecure Deserialization,High,7.2,HR-NET-003,Yes,Patched
VUL0099,CVE-2021-24324,Missing Encryption of Sensitive Data,Medium,6.6,MKT-SRV-008,No,Mitigated
VUL0100,CVE-2025-9661,Improper Input Validation,Medium,4.5,HR-WKS-009,Yes,Patched
VUL0101,CVE-2021-28038,SQL Injection Vulnerability,High,8.8,OPS-WKS-022,Yes,Accepted Risk
VUL0102,CVE-2022-24076,Buffer Overflow,High,7.5,SUP-MOB-004,Yes,Patched
VUL0103,CVE-2020-47700,Cross-Site Scripting (XSS),Medium,5.2,ENG-IOT-002,Yes,Open
VUL0104,CVE-2021-11236,Missing Encryption of Sensitive Data,Medium,6.3,LEG-LAP-010,Yes,Patched
VUL0105,CVE-2020-37998,Denial of Service,Medium,6.4,SUP-SRV-008,Yes,Mitigated
VUL0106,CVE-2024-45848,Hardcoded Credentials,High,8.4,IT-CLD-001,No,Patched
VUL0107,CVE-2021-3815,Cross-Site Scripting (XSS),Medium,6.8,ENG-NET-007,Yes,Patched
VUL0108,CVE-2020-23653,Remote Code Execution,Critical,9.1,MKT-SRV-013,Yes,Patched
VUL0109,CVE-2025-15470,Improper Input Validation,Medium,5.5,MKT-SRV-005,No,Open
VUL0110,CVE-2021-46326,Outdated TLS/SSL Configuration,Medium,5.8,SALES-SRV-002,Yes,Patched
VUL0111,CVE-2024-46760,Authentication Bypass,High,8.5,HR-LAP-005,No,Patched
VUL0112,CVE-2022-13405,Cross-Site Scripting (XSS),Medium,6.8,FIN-LAP-007,Yes,Patched
VUL0113,CVE-2025-42780,Denial of Service,Medium,6.4,SUP-CLD-001,No,Open
VUL0114,CVE-2021-27977,Remote Code Execution,High,8.8,IT-WKS-011,Yes,Patched
VUL0115,CVE-2022-44931,Weak SMB Configuration,Medium,5.5,IT-WKS-009,Yes,Patched
VUL0116,CVE-2020-43002,Hardcoded Credentials,High,7.9,IT-LAP-002,No,Open
VUL0117,CVE-2023-16779,Path Traversal,Medium,6.6,SUP-SRV-002,Yes,Patched
VUL0118,CVE-2020-45369,Privilege Escalation Flaw,High,8.7,LEG-SRV-005,No,Open
VUL0119,CVE-2020-8502,Insecure Deserialization,High,7.0,FIN-SRV-008,Yes,Open
VUL0120,CVE-2021-20916,Authentication Bypass,High,7.8,FIN-SRV-005,Yes,Open
VUL0121,CVE-2021-30168,Cross-Site Request Forgery (CSRF),Medium,5.4,HR-NET-003,Yes,Open
VUL0122,CVE-2019-31704,Weak SMB Configuration,Medium,5.2,SUP-SRV-008,Yes,Patched
VUL0123,CVE-2021-8130,Weak SMB Configuration,Medium,6.9,FIN-SRV-008,Yes,Patched
VUL0124,CVE-2019-24546,Remote Code Execution,Critical,9.5,SUP-WKS-016,Yes,Patched
VUL0125,CVE-2024-17476,Denial of Service,Medium,5.2,SUP-SRV-009,Yes,Patched
VUL0126,CVE-2025-10511,Insecure Deserialization,High,7.7,FIN-SRV-010,Yes,Mitigated
VUL0127,CVE-2024-12040,Buffer Overflow,Critical,9.0,FIN-SRV-005,No,Open
VUL0128,CVE-2020-43421,Hardcoded Credentials,High,7.1,SALES-WKS-009,Yes,Mitigated
VUL0129,CVE-2025-17616,Denial of Service,Medium,5.1,IT-LAP-001,Yes,Patched
VUL0130,CVE-2025-47240,Missing Encryption of Sensitive Data,Medium,6.8,OPS-SRV-002,Yes,Patched
VUL0131,CVE-2020-20632,Remote Code Execution,High,8.7,FIN-NET-001,Yes,Open
VUL0132,CVE-2022-6876,Cross-Site Scripting (XSS),Medium,6.5,MKT-LAP-005,Yes,Patched
VUL0133,CVE-2019-3098,Outdated TLS/SSL Configuration,Medium,5.1,SALES-LAP-009,Yes,Open
VUL0134,CVE-2024-28604,Path Traversal,Medium,5.2,Firewall,Yes,Mitigated
VUL0135,CVE-2024-11778,Missing Encryption of Sensitive Data,Medium,5.2,SUP-LAP-008,No,Patched
VUL0136,CVE-2023-13806,Weak SMB Configuration,Medium,5.2,ENG-NET-004,Yes,Open
VUL0137,CVE-2023-42007,Privilege Escalation Flaw,Critical,9.4,ENG-IOT-002,Yes,Mitigated
VUL0138,CVE-2019-48367,Path Traversal,Medium,6.5,OPS-SRV-004,Yes,Open
VUL0139,CVE-2021-32505,Privilege Escalation Flaw,High,8.1,HR-NET-004,Yes,Patched
VUL0140,CVE-2025-13376,Denial of Service,Medium,6.7,IT-MOB-003,Yes,Open
VUL0141,CVE-2023-25380,Unpatched Third-Party Library,High,7.0,LEG-LAP-009,Yes,Open
VUL0142,CVE-2022-26974,Improper Input Validation,Medium,4.3,MKT-SRV-001,No,Open
VUL0143,CVE-2024-8357,Denial of Service,High,7.2,OPS-WKS-007,Yes,Open
VUL0144,CVE-2024-17485,Weak SMB Configuration,Medium,5.5,IT-NET-002,Yes,Patched
VUL0145,CVE-2019-49207,Outdated TLS/SSL Configuration,Medium,6.3,LEG-SRV-006,Yes,Open
VUL0146,CVE-2019-29804,Privilege Escalation Flaw,Critical,9.2,MKT-WKS-012,Yes,Mitigated
VUL0147,CVE-2019-42064,Outdated TLS/SSL Configuration,Medium,4.3,IT-SRV-012,Yes,Open
VUL0148,CVE-2020-37898,Weak SMB Configuration,Medium,6.5,HR-NET-002,Yes,Patched
VUL0149,CVE-2022-16525,Cross-Site Scripting (XSS),Medium,5.1,HR-IOT-001,No,Accepted Risk
VUL0150,CVE-2022-20656,Buffer Overflow,High,8.8,IT-SRV-006,No,Open
VUL0151,CVE-2025-14212,Buffer Overflow,Critical,9.3,FIN-SRV-006,Yes,Patched
VUL0152,CVE-2021-49239,SQL Injection Vulnerability,Critical,9.3,FIN-SRV-003,Yes,Patched
VUL0153,CVE-2023-24393,Weak SMB Configuration,Medium,5.1,IT-LAP-008,Yes,Open
VUL0154,CVE-2021-40521,Buffer Overflow,High,7.1,FIN-LAP-009,Yes,Open
VUL0155,CVE-2024-30279,SQL Injection Vulnerability,Critical,9.3,SALES-IOT-001,Yes,Patched
VUL0156,CVE-2022-8236,Remote Code Execution,Critical,9.7,SUP-WKS-004,Yes,Accepted Risk
VUL0157,CVE-2025-46033,Missing Encryption of Sensitive Data,Medium,6.6,ENG-MOB-004,No,Patched
VUL0158,CVE-2024-18610,Cross-Site Request Forgery (CSRF),Medium,4.0,HR-NET-004,No,Patched
VUL0159,CVE-2022-3073,Cross-Site Scripting (XSS),Medium,4.2,MKT-NET-005,No,Patched
VUL0160,CVE-2022-32179,Information Disclosure,Medium,5.7,FIN-WKS-012,Yes,Mitigated
VUL0161,CVE-2023-34881,Remote Code Execution,Critical,9.0,ENG-LAP-006,Yes,Mitigated
VUL0162,CVE-2023-41935,Cross-Site Scripting (XSS),Medium,4.6,LEG-SRV-004,No,Open
VUL0163,CVE-2022-26420,Hardcoded Credentials,High,7.1,FIN-CLD-003,Yes,Open
VUL0164,CVE-2019-17301,Cross-Site Request Forgery (CSRF),Medium,6.2,ENG-IOT-002,Yes,Open
VUL0165,CVE-2024-10414,Improper Input Validation,Medium,5.1,ENG-CLD-001,Yes,Open
VUL0166,CVE-2023-38586,Outdated TLS/SSL Configuration,Medium,5.5,HR-NET-002,No,Open
VUL0167,CVE-2023-7242,Authentication Bypass,Critical,9.3,HR-WKS-019,Yes,Open
VUL0168,CVE-2025-19453,Denial of Service,High,7.2,LEG-SRV-002,Yes,Open
VUL0169,CVE-2025-23380,Hardcoded Credentials,High,7.5,SALES-CLD-005,Yes,Mitigated
VUL0170,CVE-2024-27605,Path Traversal,Medium,5.2,HR-CLD-003,Yes,Mitigated
VUL0171,CVE-2025-32553,Outdated TLS/SSL Configuration,Medium,4.9,MKT-CLD-001,No,Accepted Risk
VUL0172,CVE-2020-9887,Authentication Bypass,High,7.5,ENG-LAP-009,Yes,Open
VUL0173,CVE-2023-20818,Information Disclosure,Medium,5.5,SALES-NET-002,Yes,Open
VUL0174,CVE-2024-38479,Unpatched Third-Party Library,High,7.1,HR-WKS-008,Yes,Open
VUL0175,CVE-2019-39333,Information Disclosure,Medium,4.8,FIN-WKS-008,No,Open
VUL0176,CVE-2025-46238,Server-Side Request Forgery (SSRF),High,7.8,SUP-MOB-002,No,Open
VUL0177,CVE-2020-19079,Improper Input Validation,Medium,5.6,SALES-WKS-020,Yes,Open
VUL0178,CVE-2024-2315,Authentication Bypass,High,7.6,IT-MOB-003,Yes,Patched
VUL0179,CVE-2025-33893,Buffer Overflow,High,7.5,MKT-MOB-005,Yes,Open
VUL0180,CVE-2019-6197,Remote Code Execution,Critical,9.7,SALES-WKS-015,Yes,Open
VUL0181,CVE-2020-18736,Unpatched Third-Party Library,High,7.1,HR-IOT-001,Yes,Mitigated
VUL0182,CVE-2020-22072,Path Traversal,High,7.2,IT-SRV-001,Yes,Open
VUL0183,CVE-2024-23136,Information Disclosure,Medium,4.1,HR-LAP-004,No,Open
VUL0184,CVE-2023-22923,Weak SMB Configuration,High,7.0,LEG-LAP-007,Yes,Patched
VUL0185,CVE-2019-2686,Path Traversal,Medium,6.4,IT-SRV-004,Yes,Patched
VUL0186,CVE-2024-22572,Information Disclosure,Medium,4.2,ENG-CLD-002,Yes,Patched
VUL0187,CVE-2025-6889,Hardcoded Credentials,High,8.1,ENG-LAP-004,Yes,Patched
VUL0188,CVE-2025-37372,Privilege Escalation Flaw,High,8.8,HR-SRV-006,Yes,Open
VUL0189,CVE-2023-17897,Weak SMB Configuration,Medium,6.5,OPS-NET-002,Yes,Patched
VUL0190,CVE-2023-47292,Cross-Site Request Forgery (CSRF),Medium,5.4,LEG-LAP-005,Yes,Accepted Risk
VUL0191,CVE-2020-17575,SQL Injection Vulnerability,High,8.6,LEG-CLD-002,Yes,Patched
VUL0192,CVE-2021-10869,Denial of Service,Medium,6.0,MKT-LAP-001,No,Patched
VUL0193,CVE-2019-4943,Unpatched Third-Party Library,Medium,6.8,SUP-SRV-005,No,Open
VUL0194,CVE-2023-24960,Privilege Escalation Flaw,Critical,9.3,OPS-WKS-023,No,Patched
VUL0195,CVE-2023-2903,Hardcoded Credentials,High,8.1,MKT-CLD-001,Yes,Mitigated
VUL0196,CVE-2020-42689,Hardcoded Credentials,High,8.3,MKT-SRV-006,Yes,Open
VUL0197,CVE-2019-8065,SQL Injection Vulnerability,High,7.2,FIN-SRV-011,No,Patched
VUL0198,CVE-2021-4931,Denial of Service,Medium,6.4,ENG-NET-005,No,Open
VUL0199,CVE-2024-42099,Denial of Service,Medium,5.1,FIN-CLD-001,Yes,Open
VUL0200,CVE-2020-24219,Authentication Bypass,High,8.2,LEG-WKS-011,Yes,Open
VUL0201,CVE-2022-15195,Information Disclosure,Medium,5.2,LEG-CLD-006,Yes,Patched
VUL0202,CVE-2025-20666,Insecure Deserialization,High,7.2,WebServer,Yes,Mitigated
VUL0203,CVE-2020-21956,Cross-Site Request Forgery (CSRF),Medium,4.5,HR-NET-001,No,Open
VUL0204,CVE-2024-24616,Cross-Site Scripting (XSS),Medium,6.3,MKT-SRV-007,Yes,Mitigated
VUL0205,CVE-2021-45902,SQL Injection Vulnerability,Critical,9.3,SALES-NET-003,No,Open
VUL0206,CVE-2021-10882,Outdated TLS/SSL Configuration,Medium,5.8,SALES-NET-001,No,Patched
VUL0207,CVE-2022-6913,Server-Side Request Forgery (SSRF),Medium,6.8,OPS-LAP-007,No,Mitigated
VUL0208,CVE-2019-39356,Denial of Service,Medium,5.5,SUP-WKS-016,Yes,Open
VUL0209,CVE-2023-40005,Denial of Service,Medium,6.4,ENG-SRV-003,Yes,Open
VUL0210,CVE-2021-5230,Buffer Overflow,High,7.3,FIN-SRV-008,No,Patched
VUL0211,CVE-2019-12729,Denial of Service,Medium,6.7,FIN-LAP-004,Yes,Patched
VUL0212,CVE-2019-35729,Hardcoded Credentials,High,8.2,SALES-WKS-002,Yes,Open
VUL0213,CVE-2020-48932,Remote Code Execution,High,8.9,IT-WKS-006,Yes,Open
VUL0214,CVE-2019-13874,Outdated TLS/SSL Configuration,Medium,4.1,IT-WKS-018,No,Open
VUL0215,CVE-2021-46098,Cross-Site Scripting (XSS),Medium,5.9,LEG-IOT-002,Yes,Open
VUL0216,CVE-2022-49841,Improper Input Validation,Medium,5.2,LEG-SRV-003,Yes,Open
VUL0217,CVE-2020-26367,Missing Encryption of Sensitive Data,Medium,6.7,SUP-LAP-003,No,Patched
VUL0218,CVE-2020-40834,Outdated TLS/SSL Configuration,Medium,6.3,OPS-WKS-008,Yes,Patched
VUL0219,CVE-2020-14003,Buffer Overflow,High,7.2,MKT-NET-005,No,Mitigated
VUL0220,CVE-2019-27595,Unpatched Third-Party Library,Medium,6.3,SUP-NET-001,Yes,Patched
VUL0221,CVE-2022-38860,SQL Injection Vulnerability,High,8.3,SUP-NET-001,No,Patched
VUL0222,CVE-2023-36794,Missing Encryption of Sensitive Data,Medium,5.1,SALES-SRV-002,No,Mitigated
VUL0223,CVE-2021-47672,Remote Code Execution,Critical,9.1,SALES-CLD-004,Yes,Patched
VUL0224,CVE-2025-22111,Remote Code Execution,Critical,9.4,HR-LAP-007,Yes,Mitigated
VUL0225,CVE-2025-18362,Improper Input Validation,Medium,6.6,OPS-SRV-006,No,Open
VUL0226,CVE-2023-32235,Denial of Service,High,7.5,ENG-CLD-001,No,Patched
VUL0227,CVE-2023-14424,Outdated TLS/SSL Configuration,Medium,4.4,LEG-LAP-006,Yes,Open
VUL0228,CVE-2025-44372,Cross-Site Request Forgery (CSRF),Medium,4.4,SALES-MOB-006,No,Open
VUL0229,CVE-2022-24708,Server-Side Request Forgery (SSRF),Medium,6.3,SALES-NET-003,No,Open
VUL0230,CVE-2021-24373,Outdated TLS/SSL Configuration,Medium,5.3,HR-MOB-005,Yes,Open
VUL0231,CVE-2021-30242,Buffer Overflow,High,8.1,OPS-SRV-007,No,Open
VUL0232,CVE-2023-10822,SQL Injection Vulnerability,High,8.9,HR-WKS-009,Yes,Patched
VUL0233,CVE-2023-25299,Outdated TLS/SSL Configuration,Medium,4.9,FIN-WKS-010,Yes,Patched
VUL0234,CVE-2019-38391,Improper Input Validation,Medium,4.2,IT-WKS-007,Yes,Patched
VUL0235,CVE-2021-17752,Denial of Service,Medium,5.7,FIN-LAP-006,Yes,Patched
VUL0236,CVE-2025-6821,Authentication Bypass,High,7.8,ENG-NET-003,Yes,Open
VUL0237,CVE-2019-48015,Cross-Site Request Forgery (CSRF),Medium,4.9,HR-CLD-001,No,Open
VUL0238,CVE-2022-29243,Improper Input Validation,Medium,5.0,SUP-SRV-003,No,Open
VUL0239,CVE-2023-13557,Hardcoded Credentials,Medium,6.6,HR-WKS-004,Yes,Open
VUL0240,CVE-2025-30197,Missing Encryption of Sensitive Data,Medium,5.5,HR-LAP-004,Yes,Mitigated
VUL0241,CVE-2025-2677,Buffer Overflow,High,8.5,LEG-IOT-001,No,Patched
VUL0242,CVE-2022-28190,Weak SMB Configuration,Medium,5.4,ENG-CLD-001,Yes,Patched
VUL0243,CVE-2023-1623,Denial of Service,Medium,6.9,LEG-WKS-009,Yes,Mitigated
VUL0244,CVE-2021-37297,Path Traversal,Medium,6.9,LEG-CLD-006,Yes,Open
VUL0245,CVE-2025-6055,SQL Injection Vulnerability,High,7.3,HR-WKS-002,No,Open
VUL0246,CVE-2022-4604,Authentication Bypass,Critical,9.1,HR-WKS-011,No,Patched
VUL0247,CVE-2024-28389,Privilege Escalation Flaw,Critical,9.5,HR-NET-001,No,Open
VUL0248,CVE-2021-13468,Outdated TLS/SSL Configuration,Medium,6.5,ENG-SRV-001,No,Open
VUL0249,CVE-2021-6676,Path Traversal,Medium,6.0,HR-NET-005,No,Patched
VUL0250,CVE-2023-28539,Cross-Site Scripting (XSS),Medium,4.9,HR-WKS-005,No,Mitigated
VUL0251,CVE-2025-36363,Improper Input Validation,Medium,4.9,IT-SRV-002,Yes,Patched
VUL0252,CVE-2021-31423,Weak SMB Configuration,Medium,6.4,LEG-SRV-002,Yes,Mitigated
VUL0253,CVE-2020-30912,Unpatched Third-Party Library,High,7.2,ENG-NET-008,Yes,Patched
VUL0254,CVE-2022-38023,Path Traversal,Medium,5.1,OPS-SRV-003,No,Open
VUL0255,CVE-2024-14720,Cross-Site Request Forgery (CSRF),Medium,5.0,ENG-NET-008,Yes,Mitigated
VUL0256,CVE-2019-12805,Server-Side Request Forgery (SSRF),High,8.1,SALES-MOB-002,Yes,Mitigated
VUL0257,CVE-2019-40078,Weak SMB Configuration,Medium,5.4,ENG-LAP-011,Yes,Mitigated
VUL0258,CVE-2022-15470,Insecure Deserialization,High,8.6,HR-WKS-014,No,Open
VUL0259,CVE-2024-14559,Outdated TLS/SSL Configuration,Medium,4.3,SALES-LAP-001,Yes,Open
VUL0260,CVE-2019-28177,Denial of Service,Medium,6.6,ENG-LAP-001,No,Open
VUL0261,CVE-2022-11147,Cross-Site Scripting (XSS),Medium,6.7,IT-LAP-002,Yes,Mitigated
VUL0262,CVE-2021-16248,Path Traversal,Medium,6.8,SUP-LAP-012,Yes,Mitigated
VUL0263,CVE-2021-36961,Authentication Bypass,High,7.8,OPS-LAP-007,No,Open
VUL0264,CVE-2019-22470,Missing Encryption of Sensitive Data,Medium,4.9,ENG-NET-003,Yes,Patched
VUL0265,CVE-2019-13986,Cross-Site Request Forgery (CSRF),Medium,4.4,HR-WKS-003,Yes,Patched
VUL0266,CVE-2019-3543,Hardcoded Credentials,Medium,6.7,SALES-WKS-004,No,Accepted Risk
VUL0267,CVE-2023-5779,Insecure Deserialization,High,8.0,FIN-SRV-001,No,Patched
VUL0268,CVE-2019-14140,Weak SMB Configuration,Medium,5.6,SUP-WKS-008,Yes,Patched
