event_id,timestamp,source_ip,destination_ip,event_type,protocol,username,source_country,destination_country,device_name,os,event_status,severity,failed_login_attempts,malware_detected,vulnerability_id,cvss_score,asset_name,department,technique_id,technique_name,tactic,threat_confidence,risk_level,year,month,day,hour,day_of_week,is_weekend,severity_score,malware_flag,status_flag,login_risk
EVT000026,2025-08-05 21:45:00,101.137.4.73,10.0.5.196,Login Success,TCP,admin,India,India,Device-174,Windows 11,Blocked,Medium,0,No,CVE-2024-2201,5.9,Finance-PC-02,Finance,T1078,Valid Accounts,Defense Evasion,38,Medium,2025,8,5,21,Tuesday,False,2,0,1,Low
EVT000027,2025-08-02 05:55:00,63.126.92.8,10.0.3.160,Privilege Escalation,SMB,david,India,India,Device-131,Linux,Success,Medium,0,No,CVE-2024-1045,9.5,WebServer,IT,T1068,Exploitation for Privilege Escalation,Privilege Escalation,35,Medium,2025,8,2,5,Saturday,True,2,0,0,Low
EVT000028,2025-08-04 05:05:00,106.189.255.44,10.0.8.197,Privilege Escalation,TCP,alice,India,India,Device-18,Windows 11,Detected,High,0,No,CVE-2023-1234,5.4,HR-PC-01,HR,T1068,Exploitation for Privilege Escalation,Privilege Escalation,58,High,2025,8,4,5,Monday,False,3,0,1,Low
EVT000029,2025-08-04 16:50:00,15.23.108.206,10.0.2.14,Malware Detection,HTTP,david,India,India,Device-52,Windows 11,Blocked,Medium,0,No,CVE-2024-1045,9.5,HR-PC-01,HR,T1059,Command and Scripting Interpreter,Execution,37,Medium,2025,8,4,16,Monday,False,2,0,1,Low
EVT000030,2025-08-01 06:55:00,202.79.24.113,10.0.7.50,Brute Force,SMB,root,India,India,Device-119,Windows 11,Success,High,0,No,CVE-2024-2201,5.9,Finance-PC-02,Finance,T1110,Brute Force,Credential Access,53,Medium,2025,8,1,6,Friday,False,3,0,0,Low
EVT000031,2025-08-04 19:05:00,29.94.176.75,10.0.0.217,Login Success,TCP,john,India,India,Device-20,Linux,Failed,High,0,No,CVE-2024-2201,5.9,WebServer,IT,T1078,Valid Accounts,Defense Evasion,53,Medium,2025,8,4,19,Monday,False,3,0,0,Low
EVT000032,2025-08-02 01:30:00,11.35.151.19,10.0.1.237,Malware Detection,SMB,root,India,India,Device-170,Linux,Failed,High,16,No,CVE-2023-1234,5.4,WebServer,IT,T1059,Command and Scripting Interpreter,Execution,65,High,2025,8,2,1,Saturday,True,3,0,0,High
EVT000033,2025-08-01 09:45:00,186.145.182.123,10.0.1.188,File Access,SSH,alex,India,India,Device-96,,Detected,Medium,0,No,CVE-2024-1045,9.5,Firewall,IT,T1083,File and Directory Discovery,Discovery,31,Medium,2025,8,1,9,Friday,False,2,0,1,Low
EVT000034,2025-08-06 22:15:00,90.17.240.5,10.0.5.196,Failed Login,TCP,john,India,India,Device-192,Windows 11,Failed,Medium,18,No,CVE-2023-1234,5.4,Finance-PC-02,Finance,T1078,Valid Accounts,Defense Evasion,52,Medium,2025,8,6,22,Wednesday,False,2,0,0,High
EVT000035,2025-08-07 00:50:00,146.188.84.95,10.0.0.19,Failed Login,SSH,alex,India,India,Device-102,Linux,Detected,High,0,No,CVE-2024-1045,9.5,Database-01,IT,T1078,Valid Accounts,Defense Evasion,59,High,2025,8,7,0,Thursday,False,3,0,1,Low
EVT000036,2025-08-06 01:15:00,220.169.35.55,10.0.3.162,Brute Force,SMB,david,India,India,Device-155,Windows 11,Success,High,0,No,CVE-2024-2201,5.9,HR-PC-01,HR,T1110,Brute Force,Credential Access,48,Medium,2025,8,6,1,Wednesday,False,3,0,0,Low
EVT000037,2025-08-02 21:40:00,90.148.242.224,10.0.8.87,Malware Detection,HTTP,alex,India,India,Device-138,Linux,Success,High,15,No,CVE-2024-1045,9.5,WebServer,IT,T1059,Command and Scripting Interpreter,Execution,74,High,2025,8,2,21,Saturday,True,3,0,0,High
EVT000038,2025-08-01 14:35:00,86.27.108.191,10.0.3.157,Phishing Email,HTTPS,root,India,India,Device-5,Windows 11,Detected,Low,0,No,CVE-2024-1045,9.5,Finance-PC-02,Finance,T1566,Phishing,Initial Access,22,Low,2025,8,1,14,Friday,False,1,0,1,Low
EVT000039,2025-08-05 06:35:00,131.135.124.187,10.0.2.86,Login Success,SMB,root,India,India,Device-182,Linux,Detected,High,0,No,CVE-2024-2201,5.9,Database-01,IT,T1078,Valid Accounts,Defense Evasion,51,Medium,2025,8,5,6,Tuesday,False,3,0,1,Low
EVT000040,2025-08-03 18:00:00,56.205.57.180,10.0.5.105,Login Success,HTTPS,root,India,India,Device-141,,Blocked,Critical,12,No,CVE-2024-1045,9.5,Firewall,IT,T1078,Valid Accounts,Defense Evasion,89,Critical,2025,8,3,18,Sunday,True,4,0,1,High
EVT000041,2025-08-01 18:15:00,92.25.218.195,10.0.4.227,Login Success,TCP,admin,India,India,Device-129,Windows 11,Blocked,Medium,0,No,CVE-2023-1234,5.4,HR-PC-01,HR,T1078,Valid Accounts,Defense Evasion,32,Medium,2025,8,1,18,Friday,False,2,0,1,Low
EVT000042,2025-08-04 02:15:00,207.77.243.182,10.0.0.161,Port Scan,TCP,root,India,India,Device-108,Linux,Blocked,Medium,0,No,CVE-2023-1234,5.4,WebServer,IT,T1046,Network Service Discovery,Discovery,39,Medium,2025,8,4,2,Monday,False,2,0,1,Low
EVT000043,2025-08-01 05:05:00,153.161.209.204,10.0.6.206,Port Scan,HTTP,admin,India,India,Device-116,Windows 11,Detected,Medium,0,No,CVE-2024-1045,9.5,HR-PC-01,HR,T1046,Network Service Discovery,Discovery,39,Medium,2025,8,1,5,Friday,False,2,0,1,Low
EVT000044,2025-08-06 16:20:00,42.195.174.78,10.0.6.127,Privilege Escalation,TCP,david,India,India,Device-24,Windows 11,Detected,High,0,No,CVE-2024-2201,5.9,HR-PC-01,HR,T1068,Exploitation for Privilege Escalation,Privilege Escalation,52,Medium,2025,8,6,16,Wednesday,False,3,0,1,Low
EVT000045,2025-08-02 14:45:00,31.116.212.142,10.0.9.164,File Access,HTTPS,david,India,India,Device-46,Windows 11,Success,Medium,18,No,CVE-2023-1234,5.4,Finance-PC-02,Finance,T1083,File and Directory Discovery,Discovery,45,Medium,2025,8,2,14,Saturday,True,2,0,0,High
EVT000046,2025-08-05 03:20:00,73.200.240.74,10.0.7.57,Phishing Email,HTTPS,john,India,India,Device-14,Windows 11,Blocked,Low,0,Yes,CVE-2023-1234,5.4,Finance-PC-02,Finance,T1566,Phishing,Initial Access,34,Medium,2025,8,5,3,Tuesday,False,1,1,1,Low
EVT000047,2025-08-02 22:45:00,53.244.75.116,10.0.9.239,Privilege Escalation,SMB,root,India,India,Device-4,Linux,Success,Low,12,No,CVE-2024-2201,5.9,Database-01,IT,T1068,Exploitation for Privilege Escalation,Privilege Escalation,32,Medium,2025,8,2,22,Saturday,True,1,0,0,High
EVT000048,2025-08-04 06:00:00,179.228.136.185,10.0.7.6,Port Scan,HTTPS,alice,India,India,Device-191,Windows 11,Success,Critical,0,No,CVE-2024-1045,9.5,Finance-PC-02,Finance,T1046,Network Service Discovery,Discovery,77,Critical,2025,8,4,6,Monday,False,4,0,0,Low
EVT000049,2025-08-04 10:00:00,101.183.91.182,10.0.8.70,Malware Detection,TCP,john,India,India,Device-7,Windows 11,Success,Critical,0,No,CVE-2024-1045,9.5,Finance-PC-02,Finance,T1059,Command and Scripting Interpreter,Execution,74,High,2025,8,4,10,Monday,False,4,0,0,Low
EVT000050,2025-08-02 03:40:00,106.212.170.51,10.0.1.48,Privilege Escalation,TCP,alex,India,India,Device-161,Linux,Success,Medium,0,No,CVE-2024-2201,5.9,Database-01,IT,T1068,Exploitation for Privilege Escalation,Privilege Escalation,40,Medium,2025,8,2,3,Saturday,True,2,0,0,Low
EVT000051,2025-08-07 01:25:00,41.5.131.132,10.0.5.136,Port Scan,SMB,admin,India,India,Device-9,Linux,Success,Medium,0,No,CVE-2023-1234,5.4,WebServer,IT,T1046,Network Service Discovery,Discovery,39,Medium,2025,8,7,1,Thursday,False,2,0,0,Low
EVT000052,2025-08-05 20:15:00,32.36.21.59,10.0.0.43,File Access,TCP,alex,India,India,Device-20,Windows 11,Blocked,Medium,0,No,CVE-2024-2201,5.9,HR-PC-01,HR,T1083,File and Directory Discovery,Discovery,32,Medium,2025,8,5,20,Tuesday,False,2,0,1,Low
EVT000053,2025-08-06 20:55:00,212.109.100.169,10.0.2.154,Phishing Email,SMB,john,India,India,Device-18,Linux,Success,Medium,0,No,CVE-2024-2201,5.9,Database-01,IT,T1566,Phishing,Initial Access,34,Medium,2025,8,6,20,Wednesday,False,2,0,0,Low
EVT000054,2025-08-06 14:10:00,195.113.84.205,10.0.3.9,File Access,SSH,alex,India,India,Device-180,Linux,Detected,High,0,No,CVE-2024-1045,9.5,WebServer,IT,T1083,File and Directory Discovery,Discovery,54,Medium,2025,8,6,14,Wednesday,False,3,0,1,Low
EVT000055,2025-08-04 17:40:00,150.223.174.24,10.0.2.236,Login Success,HTTPS,root,India,India,Device-30,Windows 11,Failed,Medium,0,No,CVE-2024-1045,9.5,Finance-PC-02,Finance,T1078,Valid Accounts,Defense Evasion,36,Medium,2025,8,4,17,Monday,False,2,0,0,Low
EVT000056,2025-08-06 18:15:00,54.50.84.83,10.0.8.100,Failed Login,TCP,alice,India,India,Device-15,,Detected,High,0,No,CVE-2024-1045,9.5,Firewall,IT,T1078,Valid Accounts,Defense Evasion,48,Medium,2025,8,6,18,Wednesday,False,3,0,1,Low
EVT000057,2025-08-01 13:15:00,39.171.27.249,10.0.3.249,USB Device Connected,HTTPS,alice,India,India,Device-162,Linux,Failed,High,18,No,CVE-2024-2201,5.9,Database-01,IT,T1200,Hardware Additions,Initial Access,70,High,2025,8,1,13,Friday,False,3,0,0,High
EVT000058,2025-08-02 05:20:00,95.25.88.81,10.0.10.98,SQL Injection Attempt,SMB,root,India,India,Device-29,,Failed,Critical,17,Yes,CVE-2024-1045,9.5,Firewall,IT,T1190,Exploit Public-Facing Application,Initial Access,93,Critical,2025,8,2,5,Saturday,True,4,1,0,High
EVT000059,2025-08-01 06:45:00,103.27.239.165,10.0.6.240,Login Success,HTTPS,john,India,India,Device-34,Windows 11,Success,Low,0,Yes,CVE-2024-1045,9.5,Finance-PC-02,Finance,T1078,Valid Accounts,Defense Evasion,31,Medium,2025,8,1,6,Friday,False,1,1,0,Low
EVT000060,2025-08-03 00:45:00,138.110.113.171,10.0.7.172,Privilege Escalation,SMB,alice,India,India,Device-188,Windows 11,Success,High,0,No,CVE-2024-2201,5.9,Finance-PC-02,Finance,T1068,Exploitation for Privilege Escalation,Privilege Escalation,56,High,2025,8,3,0,Sunday,True,3,0,0,Low
EVT000061,2025-08-03 10:15:00,73.182.97.36,10.0.5.144,Privilege Escalation,SMB,john,India,India,Device-117,Linux,Detected,High,16,No,CVE-2024-2201,5.9,WebServer,IT,T1068,Exploitation for Privilege Escalation,Privilege Escalation,74,High,2025,8,3,10,Sunday,True,3,0,1,High
EVT000062,2025-08-02 16:40:00,7.52.129.40,10.0.7.10,USB Device Connected,HTTP,root,India,India,Device-111,Linux,Blocked,Medium,0,No,CVE-2024-1045,9.5,Database-01,IT,T1200,Hardware Additions,Initial Access,39,Medium,2025,8,2,16,Saturday,True,2,0,1,Low
EVT000063,2025-08-06 04:15:00,196.240.140.105,10.0.10.140,File Access,TCP,alice,India,India,Device-172,,Success,Critical,0,No,CVE-2024-2201,5.9,Firewall,IT,T1083,File and Directory Discovery,Discovery,70,High,2025,8,6,4,Wednesday,False,4,0,0,Low
EVT000064,2025-08-03 05:30:00,45.210.65.221,10.0.9.233,USB Device Connected,HTTP,root,India,India,Device-152,,Success,Critical,0,No,CVE-2024-2201,5.9,Firewall,IT,T1200,Hardware Additions,Initial Access,78,Critical,2025,8,3,5,Sunday,True,4,0,0,Low
EVT000065,2025-08-02 18:05:00,76.146.238.120,10.0.7.205,USB Device Connected,SSH,alice,India,India,Device-54,Linux,Detected,Low,0,No,CVE-2024-2201,5.9,WebServer,IT,T1200,Hardware Additions,Initial Access,17,Low,2025,8,2,18,Saturday,True,1,0,1,Low
EVT000066,2025-08-04 09:20:00,165.133.248.79,10.0.5.213,Malware Detection,HTTP,root,India,India,Device-2,Windows 11,Success,High,0,No,CVE-2024-1045,9.5,Finance-PC-02,Finance,T1059,Command and Scripting Interpreter,Execution,52,Medium,2025,8,4,9,Monday,False,3,0,0,Low
EVT000067,2025-08-01 21:05:00,130.18.153.147,10.0.0.133,Failed Login,SSH,root,India,India,Device-165,Windows 11,Blocked,High,0,No,CVE-2024-2201,5.9,HR-PC-01,HR,T1078,Valid Accounts,Defense Evasion,59,High,2025,8,1,21,Friday,False,3,0,1,Low
EVT000068,2025-08-06 00:15:00,27.171.177.185,10.0.5.212,Brute Force,SSH,david,India,India,Device-83,Windows 11,Failed,Medium,0,No,CVE-2024-2201,5.9,HR-PC-01,HR,T1110,Brute Force,Credential Access,34,Medium,2025,8,6,0,Wednesday,False,2,0,0,Low
EVT000069,2025-08-01 11:10:00,145.56.224.46,10.0.2.141,Brute Force,SMB,john,India,India,Device-90,Linux,Detected,Medium,0,No,CVE-2024-2201,5.9,Database-01,IT,T1110,Brute Force,Credential Access,30,Low,2025,8,1,11,Friday,False,2,0,1,Low
EVT000070,2025-08-07 04:00:00,186.46.207.72,10.0.9.195,Phishing Email,SSH,alex,India,India,Device-54,,Success,Low,0,Yes,CVE-2023-1234,5.4,Firewall,IT,T1566,Phishing,Initial Access,28,Low,2025,8,7,4,Thursday,False,1,1,0,Low
EVT000071,2025-08-05 19:50:00,30.107.232.211,10.0.7.183,Malware Detection,SSH,root,India,India,Device-164,Linux,Blocked,Medium,2,No,CVE-2024-2201,5.9,WebServer,IT,T1059,Command and Scripting Interpreter,Execution,43,Medium,2025,8,5,19,Tuesday,False,2,0,1,Medium
EVT000072,2025-08-02 05:45:00,72.39.154.227,10.0.2.94,Login Success,HTTP,root,India,India,Device-117,Windows 11,Detected,Medium,9,No,CVE-2024-2201,5.9,HR-PC-01,HR,T1078,Valid Accounts,Defense Evasion,46,Medium,2025,8,2,5,Saturday,True,2,0,1,High
EVT000073,2025-08-01 00:45:00,85.164.190.238,10.0.2.112,Phishing Email,SSH,admin,India,India,Device-186,Linux,Success,Critical,0,No,CVE-2023-1234,5.4,WebServer,IT,T1566,Phishing,Initial Access,72,High,2025,8,1,0,Friday,False,4,0,0,Low
EVT000074,2025-08-06 02:15:00,109.184.112.47,10.0.2.40,Malware Detection,HTTP,alice,India,India,Device-26,Windows 11,Success,Medium,0,No,CVE-2024-2201,5.9,Finance-PC-02,Finance,T1059,Command and Scripting Interpreter,Execution,31,Medium,2025,8,6,2,Wednesday,False,2,0,0,Low
EVT000075,2025-08-05 10:00:00,94.137.83.213,10.0.10.102,Malware Detection,HTTP,admin,India,India,Device-176,Windows 11,Success,Critical,0,No,CVE-2024-2201,5.9,HR-PC-01,HR,T1059,Command and Scripting Interpreter,Execution,74,High,2025,8,5,10,Tuesday,False,4,0,0,Low
EVT000076,2025-08-05 13:20:00,188.198.169.11,10.0.9.168,Port Scan,HTTPS,david,India,India,Device-54,Linux,Blocked,High,0,No,CVE-2024-2201,5.9,WebServer,IT,T1046,Network Service Discovery,Discovery,54,Medium,2025,8,5,13,Tuesday,False,3,0,1,Low
EVT000077,2025-08-05 19:40:00,77.119.157.222,10.0.10.3,Malware Detection,HTTP,john,India,India,Device-115,Linux,Blocked,Medium,0,No,CVE-2024-1045,9.5,WebServer,IT,T1059,Command and Scripting Interpreter,Execution,34,Medium,2025,8,5,19,Tuesday,False,2,0,1,Low
EVT000078,2025-08-01 11:05:00,168.177.10.229,10.0.4.164,Malware Detection,HTTP,david,India,India,Device-125,,Failed,Low,0,No,CVE-2024-2201,5.9,Firewall,IT,T1059,Command and Scripting Interpreter,Execution,14,Low,2025,8,1,11,Friday,False,1,0,0,Low
EVT000079,2025-08-03 05:45:00,74.240.22.150,10.0.9.79,File Access,SSH,admin,India,India,Device-4,Windows 11,Failed,Critical,0,No,CVE-2023-1234,5.4,Finance-PC-02,Finance,T1083,File and Directory Discovery,Discovery,73,High,2025,8,3,5,Sunday,True,4,0,0,Low
EVT000080,2025-08-01 17:20:00,219.136.100.146,10.0.10.33,Phishing Email,SSH,david,India,India,Device-194,Linux,Failed,High,6,No,CVE-2024-2201,5.9,Database-01,IT,T1566,Phishing,Initial Access,65,High,2025,8,1,17,Friday,False,3,0,0,High
EVT000081,2025-08-06 09:25:00,103.172.17.11,10.0.3.181,Brute Force,TCP,alice,India,India,Device-102,Linux,Failed,Medium,0,No,CVE-2024-1045,9.5,WebServer,IT,T1110,Brute Force,Credential Access,42,Medium,2025,8,6,9,Wednesday,False,2,0,0,Low
EVT000082,2025-08-04 21:25:00,131.54.127.240,10.0.7.7,Login Success,HTTPS,alex,India,India,Device-167,Linux,Detected,Critical,0,No,CVE-2024-1045,9.5,WebServer,IT,T1078,Valid Accounts,Defense Evasion,71,High,2025,8,4,21,Monday,False,4,0,1,Low
EVT000083,2025-08-03 01:35:00,28.128.163.229,10.0.10.173,USB Device Connected,SSH,alice,India,India,Device-137,,Failed,Medium,0,No,CVE-2023-1234,5.4,Firewall,IT,T1200,Hardware Additions,Initial Access,32,Medium,2025,8,3,1,Sunday,True,2,0,0,Low
EVT000084,2025-08-01 09:30:00,172.89.24.35,10.0.1.68,Port Scan,HTTP,admin,India,India,Device-39,,Success,Medium,0,No,CVE-2024-1045,9.5,Firewall,IT,T1046,Network Service Discovery,Discovery,40,Medium,2025,8,1,9,Friday,False,2,0,0,Low
EVT000085,2025-08-02 22:35:00,116.143.245.117,10.0.1.198,Malware Detection,SSH,admin,India,India,Device-79,Windows 11,Blocked,Critical,0,No,CVE-2023-1234,5.4,HR-PC-01,HR,T1059,Command and Scripting Interpreter,Execution,74,High,2025,8,2,22,Saturday,True,4,0,1,Low
EVT000086,2025-08-03 00:45:00,91.26.94.130,10.0.8.212,Brute Force,SMB,root,India,India,Device-98,Linux,Detected,High,0,No,CVE-2024-2201,5.9,Database-01,IT,T1110,Brute Force,Credential Access,57,High,2025,8,3,0,Sunday,True,3,0,1,Low
EVT000087,2025-08-05 13:25:00,172.164.172.35,10.0.7.28,Brute Force,SSH,alice,India,India,Device-8,,Failed,High,0,No,CVE-2023-1234,5.4,Firewall,IT,T1110,Brute Force,Credential Access,49,Medium,2025,8,5,13,Tuesday,False,3,0,0,Low
EVT000088,2025-08-04 23:35:00,117.228.239.27,10.0.0.150,File Access,TCP,john,India,India,Device-102,,Failed,Critical,8,Yes,CVE-2024-1045,9.5,Firewall,IT,T1083,File and Directory Discovery,Discovery,92,Critical,2025,8,4,23,Monday,False,4,1,0,High
EVT000089,2025-08-06 13:00:00,212.16.18.111,10.0.8.128,Login Success,SSH,alex,India,India,Device-105,Linux,Detected,High,0,No,CVE-2024-2201,5.9,Database-01,IT,T1078,Valid Accounts,Defense Evasion,57,High,2025,8,6,13,Wednesday,False,3,0,1,Low
EVT000090,2025-08-03 22:45:00,133.6.197.169,10.0.10.45,Port Scan,SSH,david,India,India,Device-191,,Blocked,Low,0,No,CVE-2024-2201,5.9,Firewall,IT,T1046,Network Service Discovery,Discovery,22,Low,2025,8,3,22,Sunday,True,1,0,1,Low
EVT000091,2025-08-01 17:55:00,20.200.240.240,10.0.2.44,Privilege Escalation,SSH,alice,India,India,Device-126,,Success,Low,10,No,CVE-2024-1045,9.5,Firewall,IT,T1068,Exploitation for Privilege Escalation,Privilege Escalation,32,Medium,2025,8,1,17,Friday,False,1,0,0,High
EVT000092,2025-08-05 10:55:00,178.240.240.95,10.0.9.1,Login Success,TCP,john,India,India,Device-120,Linux,Detected,Low,0,No,CVE-2024-2201,5.9,WebServer,IT,T1078,Valid Accounts,Defense Evasion,22,Low,2025,8,5,10,Tuesday,False,1,0,1,Low
EVT000093,2025-08-05 18:05:00,101.40.211.168,10.0.8.185,Privilege Escalation,SSH,david,India,India,Device-121,Linux,Blocked,Critical,0,No,CVE-2023-1234,5.4,WebServer,IT,T1068,Exploitation for Privilege Escalation,Privilege Escalation,76,Critical,2025,8,5,18,Tuesday,False,4,0,1,Low
