mitre_id,technique_name,tactic,platforms,is_subtechnique
T1682,Query Public AI Services,Reconnaissance,PRE,False
T1560.003,Archive via Custom Method,Collection,Linux; macOS; Windows,True
T1578,Modify Cloud Compute Infrastructure,Defense Impairment,IaaS,False
T1584.008,Network Devices,Resource Development,PRE,True
T1583.008,Malvertising,Resource Development,PRE,True
T1069,Permission Groups Discovery,Discovery,Containers; IaaS; Identity Provider; Linux; macOS; Office Suite; SaaS; Windows,False
T1114,Email Collection,Collection,Windows; macOS; Linux; Office Suite,False
T1003.002,Security Account Manager,Credential Access,Windows,True
T1596.002,WHOIS,Reconnaissance,PRE,True
T1542.001,System Firmware,Persistence; Stealth,Network Devices; Windows,True
T1594,Search Victim-Owned Websites,Reconnaissance,PRE,False
T1069.003,Cloud Groups,Discovery,SaaS; IaaS; Office Suite; Identity Provider,True
T1574.011,Services Registry Permissions Weakness,Execution; Stealth,Windows,True
T1596.001,DNS/Passive DNS,Reconnaissance,PRE,True
T1499.003,Application Exhaustion Flood,Impact,Windows; IaaS; Linux; macOS,True
T1195.001,Compromise Software Dependencies and Development Tools,Initial Access,Linux; macOS; Windows,True
T1588.004,Digital Certificates,Resource Development,PRE,True
T1583.002,DNS Server,Resource Development,PRE,True
T1561,Disk Wipe,Impact,Linux; macOS; Windows; Network Devices,False
T1071.004,DNS,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,True
T1552.005,Cloud Instance Metadata API,Credential Access,IaaS,True
T1555.002,Securityd Memory,Credential Access,Linux; macOS,True
T1615,Group Policy Discovery,Discovery,Windows,False
T1542.003,Bootkit,Persistence; Stealth,Linux; Windows,True
T1025,Data from Removable Media,Collection,Linux; macOS; Windows,False
T1218.013,Mavinject,Stealth,Windows,True
T1074.001,Local Data Staging,Collection,ESXi; Linux; macOS; Windows,True
T1036.005,Match Legitimate Resource Name or Location,Stealth,Containers; ESXi; Linux; macOS; Windows,True
T1587.003,Digital Certificates,Resource Development,PRE,True
T1565.001,Stored Data Manipulation,Impact,Linux; macOS; Windows,True
T1110.002,Password Cracking,Credential Access,Identity Provider; Linux; macOS; Network Devices; Office Suite; Windows,True
T1114.001,Local Email Collection,Collection,Windows,True
T1555.001,Keychain,Credential Access,macOS,True
T1547,Boot or Logon Autostart Execution,Persistence; Privilege Escalation,Linux; macOS; Windows; Network Devices,False
T1003.004,LSA Secrets,Credential Access,Windows,True
T1600,Weaken Encryption,Defense Impairment,Network Devices,False
T1606.002,SAML Tokens,Credential Access,SaaS; Windows; IaaS; Office Suite; Identity Provider,True
T1036.008,Masquerade File Type,Stealth,Linux; macOS; Windows,True
T1489,Service Stop,Impact,ESXi; IaaS; Linux; macOS; Windows,False
T1587.001,Malware,Resource Development,PRE,True
T1652,Device Driver Discovery,Discovery,Linux; macOS; Windows,False
T1087.002,Domain Account,Discovery,Linux; macOS; Windows,True
T1547.014,Active Setup,Persistence; Privilege Escalation,Windows,True
T1564,Hide Artifacts,Stealth,ESXi; Linux; macOS; Office Suite; Windows,False
T1559.002,Dynamic Data Exchange,Execution,Windows,True
T1204.002,Malicious File,Execution,Linux; macOS; Windows,True
T1591.003,Identify Business Tempo,Reconnaissance,PRE,True
T1685.004,Disable or Modify Linux Audit System Log,Defense Impairment,Linux,True
T1071.005,Publish/Subscribe Protocols,Command And Control,macOS; Linux; Windows; Network Devices,True
T1592.001,Hardware,Reconnaissance,PRE,True
T1080,Taint Shared Content,Lateral Movement,Windows; SaaS; Linux; macOS; Office Suite,False
T1484.002,Trust Modification,Defense Impairment; Privilege Escalation,Identity Provider; Windows,True
T1213.006,Databases,Collection,IaaS; Linux; macOS; SaaS; Windows,True
T1573.001,Symmetric Cryptography,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,True
T1087.001,Local Account,Discovery,ESXi; Linux; macOS; Windows,True
T1586.001,Social Media Accounts,Resource Development,PRE,True
T1176.001,Browser Extensions,Persistence,Linux; Windows; macOS,True
T1542.005,TFTP Boot,Persistence; Stealth,Network Devices,True
T1686.003,Windows Host Firewall,Defense Impairment,Windows,True
T1543.003,Windows Service,Persistence; Privilege Escalation,Windows,True
T1568.001,Fast Flux DNS,Command And Control,Linux; macOS; Windows; ESXi,True
T1497.001,System Checks,Discovery; Stealth,Linux; macOS; Windows,True
T1053.003,Cron,Execution; Persistence; Privilege Escalation,Linux; macOS; ESXi,True
T1069.002,Domain Groups,Discovery,Linux; macOS; Windows,True
T1588.006,Vulnerabilities,Resource Development,PRE,True
T1566.002,Spearphishing Link,Initial Access,Identity Provider; Linux; macOS; Office Suite; SaaS; Windows,True
T1499.004,Application or System Exploitation,Impact,Windows; IaaS; Linux; macOS,True
T1137,Office Application Startup,Persistence,Windows; Office Suite,False
T1218.004,InstallUtil,Stealth,Windows,True
T1598.003,Spearphishing Link,Reconnaissance,PRE,True
T1021.004,SSH,Lateral Movement,ESXi; Linux; macOS,True
T1098.003,Additional Cloud Roles,Persistence; Privilege Escalation,IaaS; Identity Provider; Office Suite; SaaS,True
T1547.012,Print Processors,Persistence; Privilege Escalation,Windows,True
T1566.001,Spearphishing Attachment,Initial Access,Linux; macOS; Windows,True
T1027.008,Stripped Payloads,Stealth,Linux; macOS; Network Devices; Windows,True
T1559.001,Component Object Model,Execution,Windows,True
T1574.001,DLL,Execution; Stealth,Windows,True
T1119,Automated Collection,Collection,IaaS; Linux; macOS; Office Suite; SaaS; Windows,False
T1689,Downgrade Attack,Defense Impairment,macOS; Windows; Linux,False
T1115,Clipboard Data,Collection,Linux; macOS; Windows,False
T1003.007,Proc Filesystem,Credential Access,Linux,True
T1583.005,Botnet,Resource Development,PRE,True
T1555.005,Password Managers,Credential Access,Linux; macOS; Windows,True
T1553.001,Gatekeeper Bypass,Defense Impairment,macOS,True
T1675,ESXi Administration Command,Execution,ESXi,False
T1608.004,Drive-by Target,Resource Development,PRE,True
T1007,System Service Discovery,Discovery,Linux; macOS; Windows,False
T1040,Network Sniffing,Credential Access; Discovery,IaaS; Linux; macOS; Network Devices; Windows,False
T1553.002,Code Signing,Defense Impairment,macOS; Windows,True
T1530,Data from Cloud Storage,Collection,IaaS; Office Suite; SaaS,False
T1565.003,Runtime Data Manipulation,Impact,Linux; macOS; Windows,True
T1552.002,Credentials in Registry,Credential Access,Windows,True
T1135,Network Share Discovery,Discovery,Linux; macOS; Windows,False
T1120,Peripheral Device Discovery,Discovery,Linux; macOS; Windows,False
T1036.009,Break Process Trees,Stealth,Linux; macOS,True
T1590.004,Network Topology,Reconnaissance,PRE,True
T1587.002,Code Signing Certificates,Resource Development,PRE,True
T1222.001,Windows Permissions,Defense Impairment,Windows,True
T1137.006,Add-ins,Persistence,Windows; Office Suite,True
T1685.002,Disable or Modify Cloud Log,Defense Impairment,IaaS; SaaS; Identity Provider; Office Suite,True
T1505.002,Transport Agent,Persistence,Linux; Windows,True
T1082,System Information Discovery,Discovery,ESXi; IaaS; Linux; macOS; Network Devices; Windows,False
T1071,Application Layer Protocol,Command And Control,Linux; macOS; Windows; Network Devices; ESXi,False
T1574.014,AppDomainManager,Execution; Stealth,Windows,True
T1074.002,Remote Data Staging,Collection,ESXi; IaaS; Linux; macOS; Windows,True
T1098.006,Additional Container Cluster Roles,Persistence; Privilege Escalation,Containers,True
T1053,Scheduled Task/Job,Execution; Persistence; Privilege Escalation,Containers; ESXi; Linux; macOS; Network Devices; Windows,False
T1218.007,Msiexec,Stealth,Windows,True
T1590.003,Network Trust Dependencies,Reconnaissance,PRE,True
T1498.002,Reflection Amplification,Impact,Windows; IaaS; Linux; macOS,True
T1556.002,Password Filter DLL,Credential Access; Defense Impairment; Persistence,Windows,True
T1505.005,Terminal Services DLL,Persistence,Windows,True
T1059.002,AppleScript,Execution,macOS,True
T1176,Software Extensions,Persistence,Linux; macOS; Windows,False
T1499.002,Service Exhaustion Flood,Impact,Windows; IaaS; Linux; macOS,True
T1195.003,Compromise Hardware Supply Chain,Initial Access,Linux; macOS; Windows,True
T1106,Native API,Execution,Linux; macOS; Windows,False
T1558.005,Ccache Files,Credential Access,Linux; macOS,True
T1070.007,Clear Network Connection History and Configurations,Stealth,Linux; macOS; Windows; Network Devices,True
T1558.004,AS-REP Roasting,Credential Access,Windows,True
T1584.003,Virtual Private Server,Resource Development,PRE,True
T1059.010,AutoHotKey & AutoIT,Execution,Windows,True
T1600.001,Reduce Key Space,Defense Impairment,Network Devices,True
T1070.003,Clear Command History,Stealth,ESXi; Linux; macOS; Network Devices; Windows,True
T1202,Indirect Command Execution,Stealth,Windows,False
T1091,Replication Through Removable Media,Initial Access; Lateral Movement,Windows,False
T1005,Data from Local System,Collection,ESXi; Linux; macOS; Network Devices; Windows,False
T1140,Deobfuscate/Decode Files or Information,Stealth,ESXi; Linux; macOS; Windows,False
T1137.005,Outlook Rules,Persistence,Windows; Office Suite,True
T1586.003,Cloud Accounts,Resource Development,PRE,True
T1586.002,Email Accounts,Resource Development,PRE,True
T1098.007,Additional Local or Domain Groups,Persistence; Privilege Escalation,Windows; macOS; Linux,True
T1608.001,Upload Malware,Resource Development,PRE,True
T1195,Supply Chain Compromise,Initial Access,Linux; Windows; macOS; SaaS,False
T1190,Exploit Public-Facing Application,Initial Access,Containers; ESXi; IaaS; Linux; macOS; Network Devices; Windows,False
T1558,Steal or Forge Kerberos Tickets,Credential Access,Linux; macOS; Windows,False
T1555,Credentials from Password Stores,Credential Access,IaaS; Linux; macOS; Windows,False
T1567,Exfiltration Over Web Service,Exfiltration,ESXi; Linux; macOS; Office Suite; SaaS; Windows,False
T1219,Remote Access Tools,Command And Control,Linux; macOS; Windows,False
T1583.001,Domains,Resource Development,PRE,True
T1560.002,Archive via Library,Collection,Linux; macOS; Windows,True
T1055.003,Thread Execution Hijacking,Privilege Escalation; Stealth,Windows,True
T1684,Social Engineering,Stealth,Linux; macOS; Office Suite; SaaS; Windows,False
T1036,Masquerading,Stealth,Containers; ESXi; Linux; macOS; Windows,False
T1546.011,Application Shimming,Persistence; Privilege Escalation,Windows,True
T1552,Unsecured Credentials,Credential Access,Windows; SaaS; IaaS; Linux; macOS; Containers; Network Devices; Office Suite; Identity Provider,False
T1547.010,Port Monitors,Persistence; Privilege Escalation,Windows,True
T1070.008,Clear Mailbox Data,Stealth,Linux; macOS; Office Suite; Windows,True
T1037.002,Login Hook,Persistence; Privilege Escalation,macOS,True
T1659,Content Injection,Command And Control; Initial Access,Linux; macOS; Windows,False
T1055,Process Injection,Privilege Escalation; Stealth,Linux; macOS; Windows,False
T1567.004,Exfiltration Over Webhook,Exfiltration,ESXi; Linux; macOS; Office Suite; SaaS; Windows,True
T1205,Traffic Signaling,Command And Control; Persistence; Stealth,Linux; macOS; Network Devices; Windows,False
T1021.008,Direct Cloud VM Connections,Lateral Movement,IaaS,True
T1218,System Binary Proxy Execution,Stealth,Linux; macOS; Windows,False
T1070.006,Timestomp,Stealth,ESXi; Linux; macOS; Windows,True
T1557.004,Evil Twin,Collection; Credential Access,Network Devices,True
T1620,Reflective Code Loading,Stealth,Linux; macOS; Windows,False
T1016.002,Wi-Fi Discovery,Discovery,Linux; Windows; macOS,True
T1480.002,Mutual Exclusion,Stealth,Linux; macOS; Windows,True
T1564.011,Ignore Process Interrupts,Stealth,Linux; macOS; Windows,True
T1611,Escape to Host,Privilege Escalation,Windows; Linux; Containers; ESXi,False
T1518.002,Backup Software Discovery,Discovery,Windows; macOS; Linux,True
T1547.009,Shortcut Modification,Persistence; Privilege Escalation,Windows,True
T1010,Application Window Discovery,Discovery,Linux; macOS; Windows,False
T1569.003,Systemctl,Execution,Linux,True
T1087.003,Email Account,Discovery,Windows; Office Suite,True
T1497.003,Time Based Checks,Discovery; Stealth,Linux; macOS; Windows,True
T1218.003,CMSTP,Stealth,Windows,True
T1563.001,SSH Hijacking,Lateral Movement,Linux; macOS,True
T1029,Scheduled Transfer,Exfiltration,Linux; macOS; Windows,False
T1021.002,SMB/Windows Admin Shares,Lateral Movement,Windows,True
T1525,Implant Internal Image,Persistence,IaaS; Containers,False
T1572,Protocol Tunneling,Command And Control,ESXi; Linux; macOS; Windows,False
T1218.002,Control Panel,Stealth,Windows,True
T1599.001,Network Address Translation Traversal,Defense Impairment,Network Devices,True
T1608.002,Upload Tool,Resource Development,PRE,True
T1547.005,Security Support Provider,Persistence; Privilege Escalation,Windows,True
T1036.011,Overwrite Process Arguments,Stealth,Linux,True
T1550,Use Alternate Authentication Material,Lateral Movement,Containers; IaaS; Identity Provider; Linux; Office Suite; SaaS; Windows,False
T1597.001,Threat Intel Vendors,Reconnaissance,PRE,True
T1011,Exfiltration Over Other Network Medium,Exfiltration,Linux; macOS; Windows,False
T1602.002,Network Device Configuration Dump,Collection,Network Devices,True
T1589,Gather Victim Identity Information,Reconnaissance,PRE,False
T1560,Archive Collected Data,Collection,Linux; macOS; Windows,False
T1553.003,SIP and Trust Provider Hijacking,Defense Impairment,Windows,True
T1185,Browser Session Hijacking,Collection,Windows,False
T1021,Remote Services,Lateral Movement,Linux; macOS; Windows; IaaS; ESXi,False
T1071.003,Mail Protocols,Command And Control,Linux; macOS; Network Devices; Windows,True
T1556.007,Hybrid Identity,Credential Access; Defense Impairment; Persistence,IaaS; Identity Provider; Office Suite; SaaS; Windows,True
T1595.002,Vulnerability Scanning,Reconnaissance,PRE,True
T1059.009,Cloud API,Execution,IaaS; Identity Provider; Office Suite; SaaS,True
T1596,Search Open Technical Databases,Reconnaissance,PRE,False
T1218.015,Electron Applications,Stealth,Linux; macOS; Windows,True
T1207,Rogue Domain Controller,Defense Impairment,Windows,False
T1553.006,Code Signing Policy Modification,Defense Impairment,macOS; Windows,True
T1610,Deploy Container,Execution,Containers,False
T1112,Modify Registry,Defense Impairment; Persistence,Windows,False
T1543.004,Launch Daemon,Persistence; Privilege Escalation,macOS,True
T1580,Cloud Infrastructure Discovery,Discovery,IaaS,False
T1555.003,Credentials from Web Browsers,Credential Access,Linux; macOS; Windows,True
T1574.008,Path Interception by Search Order Hijacking,Execution; Stealth,Windows,True
T1491,Defacement,Impact,Windows; IaaS; Linux; macOS; ESXi,False
T1535,Unused/Unsupported Cloud Regions,Stealth,IaaS,False
T1557.003,DHCP Spoofing,Collection; Credential Access,Linux; Windows; macOS,True
T1563,Remote Service Session Hijacking,Lateral Movement,Linux; macOS; Windows,False
T1564.013,Bind Mounts,Stealth,Linux,True
T1027.001,Binary Padding,Stealth,Linux; macOS; Windows,True
T1505.003,Web Shell,Persistence,Linux; macOS; Network Devices; Windows,True
T1484.001,Group Policy Modification,Defense Impairment; Privilege Escalation,Windows,True
T1685.006,Clear Linux or Mac System Logs,Defense Impairment,Linux; macOS,True
T1217,Browser Information Discovery,Discovery,Linux; macOS; Windows,False
T1552.004,Private Keys,Credential Access,Linux; macOS; Network Devices; Windows,True
T1583.004,Server,Resource Development,PRE,True
T1021.006,Windows Remote Management,Lateral Movement,Windows,True
T1011.001,Exfiltration Over Bluetooth,Exfiltration,Linux; macOS; Windows,True
T1078.001,Default Accounts,Initial Access; Persistence; Privilege Escalation; Stealth,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,True
T1547.003,Time Providers,Persistence; Privilege Escalation,Windows,True
T1546.005,Trap,Persistence; Privilege Escalation,macOS; Linux,True
T1574.006,Dynamic Linker Hijacking,Execution; Stealth,Linux; macOS,True
T1136.001,Local Account,Persistence,Containers; ESXi; Linux; macOS; Network Devices; Windows,True
T1681,Search Threat Vendor Data,Reconnaissance,PRE,False
T1674,Input Injection,Execution,Windows; macOS; Linux,False
T1092,Communication Through Removable Media,Command And Control,Linux; macOS; Windows,False
T1585.002,Email Accounts,Resource Development,PRE,True
T1557.001,Name Resolution Poisoning and SMB Relay,Collection; Credential Access,Windows,True
T1222,File and Directory Permissions Modification,Defense Impairment,ESXi; Linux; macOS; Windows,False
T1003.001,LSASS Memory,Credential Access,Windows,True
T1176.002,IDE Extensions,Persistence,Linux; macOS; Windows,True
T1595,Active Scanning,Reconnaissance,PRE,False
T1027.016,Junk Code Insertion,Stealth,Linux; macOS; Windows,True
T1548,Abuse Elevation Control Mechanism,Privilege Escalation,Linux; macOS; Windows; IaaS; Office Suite; Identity Provider,False
T1134.002,Create Process with Token,Privilege Escalation; Stealth,Windows,True
T1548.001,Setuid and Setgid,Privilege Escalation,Linux; macOS,True
T1547.004,Winlogon Helper DLL,Persistence; Privilege Escalation,Windows,True
T1021.003,Distributed Component Object Model,Lateral Movement,Windows,True
T1110.003,Password Spraying,Credential Access,Containers; ESXi; IaaS; Identity Provider; Linux; Network Devices; Office Suite; SaaS; Windows; macOS,True
T1090.002,External Proxy,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,True
T1056.003,Web Portal Capture,Collection; Credential Access,Linux; macOS; Windows,True
T1589.002,Email Addresses,Reconnaissance,PRE,True
T1598.004,Spearphishing Voice,Reconnaissance,PRE,True
T1683.001,Written Content,Resource Development,PRE,True
T1003.005,Cached Domain Credentials,Credential Access,Windows; Linux,True
T1098.004,SSH Authorized Keys,Persistence; Privilege Escalation,ESXi; IaaS; Linux; macOS; Network Devices,True
T1673,Virtual Machine Discovery,Discovery,ESXi; Linux; macOS; Windows,False
T1590.006,Network Security Appliances,Reconnaissance,PRE,True
T1546.012,Image File Execution Options Injection,Persistence; Privilege Escalation,Windows,True
T1218.008,Odbcconf,Stealth,Windows,True
T1593.002,Search Engines,Reconnaissance,PRE,True
T1591.002,Business Relationships,Reconnaissance,PRE,True
T1548.005,Temporary Elevated Cloud Access,Privilege Escalation,IaaS; Office Suite; Identity Provider,True
T1125,Video Capture,Collection,Linux; macOS; Windows,False
T1055.013,Process Doppelgänging,Privilege Escalation; Stealth,Windows,True
T1016,System Network Configuration Discovery,Discovery,ESXi; Linux; macOS; Network Devices; Windows,False
T1578.003,Delete Cloud Instance,Defense Impairment,IaaS,True
T1593.003,Code Repositories,Reconnaissance,PRE,True
T1574.005,Executable Installer File Permissions Weakness,Execution; Stealth,Windows,True
T1546.008,Accessibility Features,Persistence; Privilege Escalation,Windows,True
T1496.002,Bandwidth Hijacking,Impact,Linux; Windows; macOS; IaaS; Containers,True
T1087,Account Discovery,Discovery,ESXi; IaaS; Identity Provider; Linux; macOS; Office Suite; SaaS; Windows,False
T1090,Proxy,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,False
T1059,Command and Scripting Interpreter,Execution,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,False
T1204.005,Malicious Library,Execution,Linux; macOS; Windows,True
T1685.005,Clear Windows Event Logs,Defense Impairment,Windows,True
T1136.002,Domain Account,Persistence,Linux; macOS; Windows,True
T1564.014,Extended Attributes,Stealth,Linux; macOS,True
T1589.003,Employee Names,Reconnaissance,PRE,True
T1677,Poisoned Pipeline Execution,Execution,SaaS,False
T1482,Domain Trust Discovery,Discovery,Windows,False
T1558.001,Golden Ticket,Credential Access,Windows,True
T1020,Automated Exfiltration,Exfiltration,Linux; macOS; Network Devices; Windows,False
T1592.004,Client Configurations,Reconnaissance,PRE,True
T1219.001,IDE Tunneling,Command And Control,Linux; macOS; Windows,True
T1036.002,Right-to-Left Override,Stealth,Linux; macOS; Windows,True
T1588.001,Malware,Resource Development,PRE,True
T1027.017,SVG Smuggling,Stealth,Linux; macOS; Windows,True
T1542.002,Component Firmware,Persistence; Stealth,Windows; Linux; macOS,True
T1070,Indicator Removal,Stealth,Containers; ESXi; Linux; macOS; Network Devices; Office Suite; Windows,False
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Exfiltration,Linux; macOS; Windows; ESXi,True
T1137.001,Office Template Macros,Persistence,Office Suite; Windows,True
T1583.003,Virtual Private Server,Resource Development,PRE,True
T1213.001,Confluence,Collection,SaaS,True
T1550.003,Pass the Ticket,Lateral Movement,Windows,True
T1609,Container Administration Command,Execution,Containers,False
T1083,File and Directory Discovery,Discovery,ESXi; Linux; macOS; Network Devices; Windows,False
T1568,Dynamic Resolution,Command And Control,ESXi; Linux; macOS; Windows,False
T1036.004,Masquerade Task or Service,Stealth,Linux; macOS; Windows,True
T1055.004,Asynchronous Procedure Call,Privilege Escalation; Stealth,Windows,True
T1020.001,Traffic Duplication,Exfiltration,Network Devices; IaaS,True
T1647,Plist File Modification,Defense Impairment,macOS,False
T1127.003,JamPlus,Execution; Stealth,Windows,True
T1546.009,AppCert DLLs,Persistence; Privilege Escalation,Windows,True
T1114.003,Email Forwarding Rule,Collection,Linux; macOS; Office Suite; Windows,True
T1074,Data Staged,Collection,ESXi; IaaS; Linux; macOS; Windows,False
T1649,Steal or Forge Authentication Certificates,Credential Access,Windows; Linux; macOS; Identity Provider,False
T1098.005,Device Registration,Persistence; Privilege Escalation,Windows; Identity Provider,True
T1049,System Network Connections Discovery,Discovery,ESXi; IaaS; Linux; macOS; Network Devices; Windows,False
T1584,Compromise Infrastructure,Resource Development,PRE,False
T1553.005,Mark-of-the-Web Bypass,Defense Impairment,Windows,True
T1600.002,Disable Crypto Hardware,Defense Impairment,Network Devices,True
T1542,Pre-OS Boot,Persistence; Stealth,Linux; macOS; Network Devices; Windows,False
T1612,Build Image on Host,Stealth,Containers,False
T1055.002,Portable Executable Injection,Privilege Escalation; Stealth,Windows,True
T1218.012,Verclsid,Stealth,Windows,True
T1586,Compromise Accounts,Resource Development,PRE,False
T1569.001,Launchctl,Execution,macOS,True
T1584.005,Botnet,Resource Development,PRE,True
T1059.008,Network Device CLI,Execution,Network Devices,True
T1552.003,Shell History,Credential Access,Linux; macOS; Windows,True
T1559.003,XPC Services,Execution,macOS,True
T1497,Virtualization/Sandbox Evasion,Discovery; Stealth,Linux; macOS; Windows,False
T1102,Web Service,Command And Control,ESXi; Linux; macOS; Windows,False
T1552.001,Credentials In Files,Credential Access,Containers; IaaS; Linux; macOS; Windows,True
T1568.003,DNS Calculation,Command And Control,ESXi; Linux; macOS; Windows,True
T1218.005,Mshta,Stealth,Windows,True
T1547.015,Login Items,Persistence; Privilege Escalation,macOS,True
T1608,Stage Capabilities,Resource Development,PRE,False
T1608.005,Link Target,Resource Development,PRE,True
T1104,Multi-Stage Channels,Command And Control,Linux; macOS; Windows; ESXi,False
T1657,Financial Theft,Impact,Linux; macOS; Office Suite; SaaS; Windows,False
T1480,Execution Guardrails,Stealth,ESXi; Linux; macOS; Windows,False
T1619,Cloud Storage Object Discovery,Discovery,IaaS,False
T1606.001,Web Cookies,Credential Access,Linux; macOS; Windows; SaaS; IaaS,True
T1654,Log Enumeration,Discovery,ESXi; IaaS; Linux; macOS; Windows,False
T1134.001,Token Impersonation/Theft,Privilege Escalation; Stealth,Windows,True
T1567.001,Exfiltration to Code Repository,Exfiltration,ESXi; Linux; macOS; Windows,True
T1021.007,Cloud Services,Lateral Movement,IaaS; Identity Provider; Office Suite; SaaS,True
T1205.001,Port Knocking,Command And Control; Persistence; Stealth,Linux; macOS; Network Devices; Windows,True
T1027.012,LNK Icon Smuggling,Stealth,Windows,True
T1583.006,Web Services,Resource Development,PRE,True
T1528,Steal Application Access Token,Credential Access,Containers; IaaS; Identity Provider; Office Suite; SaaS,False
T1598.002,Spearphishing Attachment,Reconnaissance,PRE,True
T1098.001,Additional Cloud Credentials,Persistence; Privilege Escalation,IaaS; Identity Provider; SaaS,True
T1204,User Execution,Execution,Linux; Windows; macOS; IaaS; Containers,False
