incident_id,event_id,incident_type,assigned_to,status,response_time,resolution
INC0032,EVT009601,Brute Force,SOC Tier 3,Open,11 min,Pending review
INC0033,EVT008761,SQL Injection Attempt,SOC Tier 2,Open,82 min,Pending review
INC0034,EVT000883,Privilege Escalation,SOC Tier 2,In Progress,72 min,Pending review
INC0035,EVT009640,Port Scan,SOC Tier 1,Closed,21 min,Source IP flagged and monitored
INC0036,EVT005294,SQL Injection Attempt,Incident Response Team,In Progress,68 min,Pending review
INC0037,EVT001203,Failed Login,SOC Tier 2,Closed,32 min,"Account temporarily locked, user verified"
INC0038,EVT003413,Malware Detection,SOC Tier 1,In Progress,71 min,Pending review
INC0039,EVT009400,Port Scan,SOC Tier 3,Closed,90 min,Source IP flagged and monitored
INC0040,EVT000378,Port Scan,Incident Response Team,Closed,31 min,Source IP flagged and monitored
INC0041,EVT007274,Phishing Email,Incident Response Team,Closed,87 min,"Email quarantined, user notified"
INC0042,EVT001202,Login Success,SOC Tier 2,Closed,48 min,"Reviewed, no action required"
INC0043,EVT002398,SQL Injection Attempt,Incident Response Team,Open,50 min,Pending review
INC0044,EVT000099,Malware Detection,Incident Response Team,Closed,16 min,"Endpoint isolated, malware removed"
INC0045,EVT002414,USB Device Connected,Incident Response Team,Open,73 min,Pending review
INC0046,EVT008313,File Access,SOC Tier 2,In Progress,79 min,Pending review
INC0047,EVT009069,Port Scan,Incident Response Team,Closed,57 min,Source IP flagged and monitored
INC0048,EVT007782,Malware Detection,SOC Tier 3,In Progress,24 min,Pending review
INC0049,EVT009173,USB Device Connected,SOC Tier 1,Closed,38 min,"Device inspected, no threat found"
INC0050,EVT001248,Login Success,SOC Tier 3,In Progress,18 min,Pending review
INC0051,EVT007968,File Access,SOC Tier 2,Open,89 min,Pending review
INC0052,EVT008348,Privilege Escalation,SOC Tier 2,Closed,31 min,"Access revoked, account access reviewed"
INC0053,EVT005676,Brute Force,SOC Tier 1,Closed,35 min,Source IP blocked at firewall
INC0054,EVT006076,Login Success,SOC Tier 2,Closed,65 min,"Reviewed, no action required"
INC0055,EVT001904,Login Success,SOC Tier 1,Closed,90 min,"Reviewed, no action required"
INC0056,EVT002859,Privilege Escalation,SOC Tier 1,In Progress,53 min,Pending review
INC0057,EVT000857,USB Device Connected,SOC Tier 1,Closed,54 min,"Device inspected, no threat found"
INC0058,EVT000146,Login Success,Incident Response Team,Closed,69 min,"Reviewed, no action required"
INC0059,EVT002298,File Access,Incident Response Team,Closed,61 min,"Reviewed, no action required"
INC0060,EVT007472,Failed Login,SOC Tier 1,In Progress,58 min,Pending review
INC0061,EVT006376,Phishing Email,Incident Response Team,Closed,74 min,"Email quarantined, user notified"
INC0062,EVT005739,Privilege Escalation,SOC Tier 2,Closed,20 min,"Access revoked, account access reviewed"
INC0063,EVT005605,Failed Login,SOC Tier 2,In Progress,37 min,Pending review
INC0064,EVT000169,Privilege Escalation,SOC Tier 1,Closed,23 min,"Access revoked, account access reviewed"
INC0065,EVT001795,Phishing Email,SOC Tier 2,In Progress,15 min,Pending review
INC0066,EVT002777,Brute Force,Incident Response Team,Closed,81 min,Source IP blocked at firewall
INC0067,EVT008850,Port Scan,Incident Response Team,Closed,84 min,Source IP flagged and monitored
INC0068,EVT005955,File Access,Incident Response Team,Open,90 min,Pending review
INC0069,EVT002645,Port Scan,Incident Response Team,Closed,27 min,Source IP flagged and monitored
INC0070,EVT006922,Phishing Email,Incident Response Team,In Progress,30 min,Pending review
INC0071,EVT004925,Phishing Email,SOC Tier 2,Closed,61 min,"Email quarantined, user notified"
INC0072,EVT003979,Login Success,SOC Tier 3,Open,13 min,Pending review
INC0073,EVT000978,Privilege Escalation,SOC Tier 3,Closed,55 min,"Access revoked, account access reviewed"
INC0074,EVT003010,Failed Login,SOC Tier 1,Open,82 min,Pending review
INC0075,EVT006171,Privilege Escalation,SOC Tier 1,Open,25 min,Pending review
INC0076,EVT006558,Brute Force,Incident Response Team,Closed,12 min,Source IP blocked at firewall
INC0077,EVT003563,Brute Force,Incident Response Team,Closed,45 min,Source IP blocked at firewall
INC0078,EVT006423,Login Success,SOC Tier 2,Closed,59 min,"Reviewed, no action required"
INC0079,EVT004284,Privilege Escalation,SOC Tier 1,Closed,10 min,"Access revoked, account access reviewed"
INC0080,EVT008675,Failed Login,SOC Tier 2,Closed,30 min,"Account temporarily locked, user verified"
INC0081,EVT001622,File Access,Incident Response Team,Closed,67 min,"Reviewed, no action required"
INC0082,EVT009974,File Access,SOC Tier 1,Closed,32 min,"Reviewed, no action required"
INC0083,EVT001712,Phishing Email,Incident Response Team,Closed,84 min,"Email quarantined, user notified"
INC0084,EVT007396,Brute Force,SOC Tier 3,Closed,86 min,Source IP blocked at firewall
INC0085,EVT007542,Login Success,SOC Tier 1,Closed,23 min,"Reviewed, no action required"
INC0086,EVT001726,Failed Login,SOC Tier 1,Closed,89 min,"Account temporarily locked, user verified"
INC0087,EVT004612,USB Device Connected,SOC Tier 2,Open,54 min,Pending review
INC0088,EVT006449,USB Device Connected,SOC Tier 1,In Progress,39 min,Pending review
INC0089,EVT002247,Failed Login,SOC Tier 2,Closed,73 min,"Account temporarily locked, user verified"
INC0090,EVT005434,Login Success,Incident Response Team,Open,75 min,Pending review
INC0091,EVT002009,File Access,SOC Tier 1,Closed,79 min,"Reviewed, no action required"
INC0092,EVT002550,Login Success,SOC Tier 2,Closed,80 min,"Reviewed, no action required"
INC0093,EVT005593,Login Success,SOC Tier 1,Closed,60 min,"Reviewed, no action required"
INC0094,EVT000723,USB Device Connected,SOC Tier 2,In Progress,90 min,Pending review
INC0095,EVT007106,Port Scan,Incident Response Team,Closed,74 min,Source IP flagged and monitored
INC0096,EVT008557,Privilege Escalation,SOC Tier 3,Closed,44 min,"Access revoked, account access reviewed"
INC0097,EVT001607,USB Device Connected,SOC Tier 1,Open,23 min,Pending review
INC0098,EVT008709,Malware Detection,SOC Tier 3,Closed,74 min,"Endpoint isolated, malware removed"
INC0099,EVT003308,File Access,SOC Tier 3,In Progress,35 min,Pending review
INC0100,EVT004863,SQL Injection Attempt,SOC Tier 3,Closed,89 min,"Request blocked, WAF rule updated"
INC0101,EVT008273,USB Device Connected,SOC Tier 1,Closed,46 min,"Device inspected, no threat found"
INC0102,EVT003175,Malware Detection,SOC Tier 2,In Progress,85 min,Pending review
INC0103,EVT006861,Privilege Escalation,SOC Tier 2,In Progress,47 min,Pending review
INC0104,EVT001339,Malware Detection,SOC Tier 1,In Progress,86 min,Pending review
INC0105,EVT006200,Malware Detection,SOC Tier 3,Closed,44 min,"Endpoint isolated, malware removed"
INC0106,EVT004435,File Access,Incident Response Team,Open,53 min,Pending review
INC0107,EVT001266,Failed Login,Incident Response Team,In Progress,42 min,Pending review
INC0108,EVT008824,Privilege Escalation,SOC Tier 2,Closed,17 min,"Access revoked, account access reviewed"
INC0109,EVT006748,Port Scan,Incident Response Team,Closed,67 min,Source IP flagged and monitored
INC0110,EVT008289,Brute Force,SOC Tier 2,Closed,68 min,Source IP blocked at firewall
INC0111,EVT001136,File Access,SOC Tier 3,Closed,26 min,"Reviewed, no action required"
INC0112,EVT003356,USB Device Connected,SOC Tier 3,Closed,15 min,"Device inspected, no threat found"
INC0113,EVT001290,Phishing Email,SOC Tier 3,Closed,75 min,"Email quarantined, user notified"
INC0114,EVT007376,Privilege Escalation,Incident Response Team,Closed,32 min,"Access revoked, account access reviewed"
INC0115,EVT008974,Login Success,Incident Response Team,Open,85 min,Pending review
INC0116,EVT008738,Login Success,SOC Tier 3,Open,82 min,Pending review
INC0117,EVT004367,Privilege Escalation,Incident Response Team,Closed,84 min,"Access revoked, account access reviewed"
INC0118,EVT000440,USB Device Connected,Incident Response Team,Closed,28 min,"Device inspected, no threat found"
INC0119,EVT006298,USB Device Connected,SOC Tier 1,Closed,40 min,"Device inspected, no threat found"
INC0120,EVT003991,Login Success,SOC Tier 2,Closed,76 min,"Reviewed, no action required"
INC0121,EVT008821,USB Device Connected,SOC Tier 3,In Progress,72 min,Pending review
INC0122,EVT005054,Login Success,Incident Response Team,Closed,59 min,"Reviewed, no action required"
INC0123,EVT001796,USB Device Connected,SOC Tier 3,Closed,78 min,"Device inspected, no threat found"
INC0124,EVT003826,Phishing Email,SOC Tier 2,In Progress,75 min,Pending review
INC0125,EVT000847,USB Device Connected,SOC Tier 2,Closed,9 min,"Device inspected, no threat found"
INC0126,EVT006546,USB Device Connected,SOC Tier 3,Open,64 min,Pending review
INC0127,EVT000651,Phishing Email,Incident Response Team,Open,24 min,Pending review
INC0128,EVT002307,USB Device Connected,SOC Tier 2,Closed,86 min,"Device inspected, no threat found"
INC0129,EVT005178,Phishing Email,Incident Response Team,In Progress,57 min,Pending review
INC0130,EVT003616,File Access,SOC Tier 2,In Progress,39 min,Pending review
INC0131,EVT007735,Malware Detection,SOC Tier 2,In Progress,83 min,Pending review
INC0132,EVT007762,Failed Login,SOC Tier 1,Closed,42 min,"Account temporarily locked, user verified"
INC0133,EVT008937,File Access,Incident Response Team,Open,11 min,Pending review
INC0134,EVT006651,File Access,Incident Response Team,In Progress,56 min,Pending review
INC0135,EVT000057,USB Device Connected,SOC Tier 2,Closed,68 min,"Device inspected, no threat found"
INC0136,EVT007380,Malware Detection,SOC Tier 2,Open,37 min,Pending review
INC0137,EVT001082,File Access,SOC Tier 1,Closed,80 min,"Reviewed, no action required"
INC0138,EVT006205,Login Success,SOC Tier 3,Closed,19 min,"Reviewed, no action required"
INC0139,EVT007091,USB Device Connected,Incident Response Team,Closed,18 min,"Device inspected, no threat found"
INC0140,EVT006025,File Access,SOC Tier 2,In Progress,33 min,Pending review
INC0141,EVT005343,Failed Login,Incident Response Team,Open,81 min,Pending review
INC0142,EVT000410,Brute Force,SOC Tier 3,Open,8 min,Pending review
INC0143,EVT009926,File Access,Incident Response Team,Closed,63 min,"Reviewed, no action required"
INC0144,EVT003062,SQL Injection Attempt,SOC Tier 3,In Progress,10 min,Pending review
INC0145,EVT005397,Phishing Email,SOC Tier 3,In Progress,9 min,Pending review
INC0146,EVT006932,Privilege Escalation,Incident Response Team,Open,23 min,Pending review
INC0147,EVT005843,Phishing Email,Incident Response Team,Closed,47 min,"Email quarantined, user notified"
INC0148,EVT002251,Malware Detection,SOC Tier 1,In Progress,53 min,Pending review
INC0149,EVT004428,Privilege Escalation,SOC Tier 1,In Progress,62 min,Pending review
INC0150,EVT007175,Port Scan,SOC Tier 3,In Progress,53 min,Pending review
INC0151,EVT009913,Port Scan,SOC Tier 3,In Progress,44 min,Pending review
INC0152,EVT008618,USB Device Connected,SOC Tier 3,Closed,76 min,"Device inspected, no threat found"
INC0153,EVT000340,File Access,Incident Response Team,Open,18 min,Pending review
INC0154,EVT005108,File Access,SOC Tier 1,Closed,84 min,"Reviewed, no action required"
INC0155,EVT002155,USB Device Connected,SOC Tier 2,Closed,53 min,"Device inspected, no threat found"
INC0156,EVT000665,Brute Force,Incident Response Team,Closed,73 min,Source IP blocked at firewall
INC0157,EVT007769,Port Scan,SOC Tier 1,In Progress,25 min,Pending review
INC0158,EVT007813,File Access,Incident Response Team,Open,90 min,Pending review
INC0159,EVT000884,SQL Injection Attempt,SOC Tier 3,Closed,50 min,"Request blocked, WAF rule updated"
INC0160,EVT002087,Malware Detection,SOC Tier 3,Open,39 min,Pending review
INC0161,EVT003168,Login Success,SOC Tier 2,Closed,84 min,"Reviewed, no action required"
INC0162,EVT009633,Privilege Escalation,SOC Tier 2,Closed,60 min,"Access revoked, account access reviewed"
INC0163,EVT003865,SQL Injection Attempt,SOC Tier 1,Open,55 min,Pending review
INC0164,EVT005106,Login Success,SOC Tier 3,Closed,61 min,"Reviewed, no action required"
INC0165,EVT007491,File Access,SOC Tier 3,Open,84 min,Pending review
INC0166,EVT004614,SQL Injection Attempt,SOC Tier 3,Closed,28 min,"Request blocked, WAF rule updated"
INC0167,EVT000124,Port Scan,SOC Tier 3,Closed,51 min,Source IP flagged and monitored
INC0168,EVT003181,SQL Injection Attempt,Incident Response Team,In Progress,9 min,Pending review
INC0169,EVT006621,File Access,SOC Tier 2,Closed,46 min,"Reviewed, no action required"
INC0170,EVT005519,File Access,SOC Tier 1,In Progress,15 min,Pending review
INC0171,EVT002250,Port Scan,SOC Tier 1,Open,84 min,Pending review
INC0172,EVT008452,Privilege Escalation,Incident Response Team,Closed,33 min,"Access revoked, account access reviewed"
INC0173,EVT003254,Phishing Email,Incident Response Team,In Progress,74 min,Pending review
INC0174,EVT006478,Malware Detection,SOC Tier 3,Closed,30 min,"Endpoint isolated, malware removed"
INC0175,EVT007595,Phishing Email,SOC Tier 3,Open,55 min,Pending review
INC0176,EVT008449,Malware Detection,SOC Tier 3,Closed,86 min,"Endpoint isolated, malware removed"
INC0177,EVT004151,Login Success,SOC Tier 3,In Progress,72 min,Pending review
INC0178,EVT009835,Phishing Email,Incident Response Team,Closed,16 min,"Email quarantined, user notified"
INC0179,EVT007532,Malware Detection,SOC Tier 3,In Progress,32 min,Pending review
INC0180,EVT005090,Malware Detection,SOC Tier 2,Closed,54 min,"Endpoint isolated, malware removed"
INC0181,EVT008141,Login Success,SOC Tier 3,In Progress,8 min,Pending review
INC0182,EVT007584,USB Device Connected,SOC Tier 1,In Progress,50 min,Pending review
INC0183,EVT001482,USB Device Connected,SOC Tier 3,Closed,61 min,"Device inspected, no threat found"
INC0184,EVT002339,Login Success,SOC Tier 1,Closed,76 min,"Reviewed, no action required"
INC0185,EVT001034,Phishing Email,Incident Response Team,Closed,44 min,"Email quarantined, user notified"
INC0186,EVT001847,Failed Login,SOC Tier 3,Closed,43 min,"Account temporarily locked, user verified"
INC0187,EVT001418,File Access,Incident Response Team,Closed,53 min,"Reviewed, no action required"
INC0188,EVT008810,Malware Detection,SOC Tier 1,Closed,56 min,"Endpoint isolated, malware removed"
INC0189,EVT006212,File Access,Incident Response Team,Closed,54 min,"Reviewed, no action required"
INC0190,EVT004903,Privilege Escalation,SOC Tier 1,In Progress,81 min,Pending review
INC0191,EVT004313,Login Success,SOC Tier 3,In Progress,36 min,Pending review
INC0192,EVT009995,Brute Force,SOC Tier 2,In Progress,13 min,Pending review
INC0193,EVT006439,Malware Detection,SOC Tier 1,In Progress,74 min,Pending review
INC0194,EVT002168,Brute Force,SOC Tier 3,Closed,34 min,Source IP blocked at firewall
INC0195,EVT008799,Brute Force,SOC Tier 2,Open,32 min,Pending review
INC0196,EVT006039,Login Success,SOC Tier 3,Closed,31 min,"Reviewed, no action required"
INC0197,EVT006042,File Access,SOC Tier 1,Closed,49 min,"Reviewed, no action required"
INC0198,EVT000656,Malware Detection,Incident Response Team,Closed,61 min,"Endpoint isolated, malware removed"
INC0199,EVT004187,Port Scan,SOC Tier 3,In Progress,16 min,Pending review
INC0200,EVT001837,Malware Detection,SOC Tier 3,Closed,65 min,"Endpoint isolated, malware removed"
INC0201,EVT000588,Privilege Escalation,SOC Tier 1,Closed,19 min,"Access revoked, account access reviewed"
INC0202,EVT005903,SQL Injection Attempt,SOC Tier 1,In Progress,40 min,Pending review
INC0203,EVT005725,Failed Login,SOC Tier 2,Closed,83 min,"Account temporarily locked, user verified"
INC0204,EVT008321,SQL Injection Attempt,SOC Tier 2,Closed,86 min,"Request blocked, WAF rule updated"
INC0205,EVT001247,Privilege Escalation,SOC Tier 1,Closed,52 min,"Access revoked, account access reviewed"
INC0206,EVT007223,Login Success,SOC Tier 3,In Progress,68 min,Pending review
INC0207,EVT004644,Phishing Email,SOC Tier 1,Closed,19 min,"Email quarantined, user notified"
INC0208,EVT009105,Login Success,SOC Tier 1,Closed,16 min,"Reviewed, no action required"
INC0209,EVT009970,Failed Login,Incident Response Team,Closed,39 min,"Account temporarily locked, user verified"
INC0210,EVT001586,SQL Injection Attempt,SOC Tier 3,Closed,29 min,"Request blocked, WAF rule updated"
INC0211,EVT009725,Login Success,SOC Tier 1,Open,11 min,Pending review
INC0212,EVT009086,Malware Detection,Incident Response Team,In Progress,68 min,Pending review
INC0213,EVT001435,File Access,SOC Tier 2,Closed,54 min,"Reviewed, no action required"
INC0214,EVT008793,Malware Detection,SOC Tier 1,Closed,82 min,"Endpoint isolated, malware removed"
INC0215,EVT008082,Login Success,SOC Tier 3,Closed,66 min,"Reviewed, no action required"
INC0216,EVT002360,Failed Login,Incident Response Team,Closed,86 min,"Account temporarily locked, user verified"
INC0217,EVT002595,Login Success,SOC Tier 3,Open,22 min,Pending review
INC0218,EVT008781,File Access,SOC Tier 1,In Progress,47 min,Pending review
INC0219,EVT003555,File Access,SOC Tier 1,Closed,65 min,"Reviewed, no action required"
INC0220,EVT000153,Privilege Escalation,SOC Tier 3,In Progress,80 min,Pending review
INC0221,EVT009547,File Access,SOC Tier 3,Closed,66 min,"Reviewed, no action required"
INC0222,EVT000577,Port Scan,Incident Response Team,Closed,56 min,Source IP flagged and monitored
INC0223,EVT006889,USB Device Connected,SOC Tier 3,Open,46 min,Pending review
INC0224,EVT006000,Port Scan,SOC Tier 1,Closed,64 min,Source IP flagged and monitored
INC0225,EVT008747,USB Device Connected,SOC Tier 1,In Progress,27 min,Pending review
INC0226,EVT001638,USB Device Connected,SOC Tier 1,Closed,12 min,"Device inspected, no threat found"
INC0227,EVT006161,Brute Force,SOC Tier 3,In Progress,19 min,Pending review
INC0228,EVT003079,Privilege Escalation,SOC Tier 1,In Progress,9 min,Pending review
INC0229,EVT006565,Phishing Email,Incident Response Team,Closed,53 min,"Email quarantined, user notified"
INC0230,EVT005328,Port Scan,SOC Tier 3,Closed,28 min,Source IP flagged and monitored
INC0231,EVT000867,Login Success,Incident Response Team,Closed,89 min,"Reviewed, no action required"
INC0232,EVT005491,Phishing Email,Incident Response Team,Closed,43 min,"Email quarantined, user notified"
INC0233,EVT006836,Port Scan,Incident Response Team,Closed,73 min,Source IP flagged and monitored
INC0234,EVT000319,Malware Detection,Incident Response Team,In Progress,89 min,Pending review
INC0235,EVT000876,Brute Force,Incident Response Team,Closed,44 min,Source IP blocked at firewall
INC0236,EVT008523,Failed Login,Incident Response Team,In Progress,30 min,Pending review
INC0237,EVT006426,Login Success,Incident Response Team,Open,57 min,Pending review
INC0238,EVT006005,Brute Force,SOC Tier 1,Closed,66 min,Source IP blocked at firewall
INC0239,EVT006989,SQL Injection Attempt,SOC Tier 3,Closed,60 min,"Request blocked, WAF rule updated"
INC0240,EVT009510,Port Scan,SOC Tier 3,Closed,79 min,Source IP flagged and monitored
INC0241,EVT001885,USB Device Connected,SOC Tier 2,Closed,18 min,"Device inspected, no threat found"
INC0242,EVT008620,Phishing Email,SOC Tier 1,Open,37 min,Pending review
INC0243,EVT004255,Phishing Email,Incident Response Team,In Progress,39 min,Pending review
INC0244,EVT004906,SQL Injection Attempt,SOC Tier 1,In Progress,15 min,Pending review
INC0245,EVT002808,Login Success,SOC Tier 1,Closed,36 min,"Reviewed, no action required"
INC0246,EVT007397,Brute Force,SOC Tier 2,In Progress,11 min,Pending review
INC0247,EVT002814,Brute Force,SOC Tier 1,Closed,25 min,Source IP blocked at firewall
INC0248,EVT005851,USB Device Connected,SOC Tier 3,Closed,78 min,"Device inspected, no threat found"
INC0249,EVT005800,Brute Force,SOC Tier 1,Closed,68 min,Source IP blocked at firewall
INC0250,EVT001213,Phishing Email,Incident Response Team,In Progress,41 min,Pending review
INC0251,EVT007742,Brute Force,Incident Response Team,Closed,56 min,Source IP blocked at firewall
INC0252,EVT002069,Failed Login,Incident Response Team,Closed,28 min,"Account temporarily locked, user verified"
INC0253,EVT001868,File Access,SOC Tier 2,Closed,67 min,"Reviewed, no action required"
INC0254,EVT005011,USB Device Connected,SOC Tier 2,Closed,74 min,"Device inspected, no threat found"
INC0255,EVT002128,Port Scan,SOC Tier 1,Open,38 min,Pending review
INC0256,EVT005277,Failed Login,Incident Response Team,Closed,71 min,"Account temporarily locked, user verified"
INC0257,EVT001402,Port Scan,Incident Response Team,Closed,65 min,Source IP flagged and monitored
INC0258,EVT003877,File Access,SOC Tier 2,In Progress,51 min,Pending review
INC0259,EVT009155,Failed Login,SOC Tier 3,Closed,16 min,"Account temporarily locked, user verified"
INC0260,EVT003333,Privilege Escalation,SOC Tier 1,Closed,34 min,"Access revoked, account access reviewed"
INC0261,EVT008119,USB Device Connected,SOC Tier 3,Closed,54 min,"Device inspected, no threat found"
INC0262,EVT006626,Privilege Escalation,Incident Response Team,In Progress,89 min,Pending review
INC0263,EVT009168,SQL Injection Attempt,SOC Tier 1,Closed,69 min,"Request blocked, WAF rule updated"
INC0264,EVT000953,Port Scan,SOC Tier 2,Closed,27 min,Source IP flagged and monitored
INC0265,EVT008052,Brute Force,Incident Response Team,Closed,28 min,Source IP blocked at firewall
INC0266,EVT000240,Malware Detection,SOC Tier 2,In Progress,76 min,Pending review
INC0267,EVT006654,Port Scan,SOC Tier 1,In Progress,19 min,Pending review
INC0268,EVT003041,Privilege Escalation,Incident Response Team,In Progress,62 min,Pending review
INC0269,EVT005283,SQL Injection Attempt,Incident Response Team,Closed,76 min,"Request blocked, WAF rule updated"
INC0270,EVT001369,Privilege Escalation,Incident Response Team,Open,68 min,Pending review
INC0271,EVT001017,USB Device Connected,SOC Tier 2,Closed,10 min,"Device inspected, no threat found"
INC0272,EVT001372,USB Device Connected,SOC Tier 3,Closed,51 min,"Device inspected, no threat found"
INC0273,EVT000903,File Access,Incident Response Team,In Progress,73 min,Pending review
INC0274,EVT003932,Port Scan,SOC Tier 1,Closed,42 min,Source IP flagged and monitored
INC0275,EVT007418,USB Device Connected,SOC Tier 3,Closed,41 min,"Device inspected, no threat found"
INC0276,EVT008262,Brute Force,SOC Tier 3,In Progress,59 min,Pending review
INC0277,EVT003282,Malware Detection,SOC Tier 1,In Progress,27 min,Pending review
INC0278,EVT005661,SQL Injection Attempt,SOC Tier 3,Closed,65 min,"Request blocked, WAF rule updated"
INC0279,EVT005292,Brute Force,SOC Tier 3,Closed,9 min,Source IP blocked at firewall
INC0280,EVT005157,Failed Login,Incident Response Team,Closed,19 min,"Account temporarily locked, user verified"
INC0281,EVT000621,File Access,SOC Tier 3,In Progress,11 min,Pending review
INC0282,EVT008511,Brute Force,SOC Tier 1,Closed,40 min,Source IP blocked at firewall
INC0283,EVT004391,Port Scan,SOC Tier 2,Closed,54 min,Source IP flagged and monitored
INC0284,EVT008495,USB Device Connected,SOC Tier 1,Closed,46 min,"Device inspected, no threat found"
INC0285,EVT000669,SQL Injection Attempt,Incident Response Team,Closed,46 min,"Request blocked, WAF rule updated"
INC0286,EVT003378,SQL Injection Attempt,SOC Tier 1,In Progress,82 min,Pending review
INC0287,EVT005717,USB Device Connected,Incident Response Team,Closed,57 min,"Device inspected, no threat found"
INC0288,EVT009711,Privilege Escalation,SOC Tier 1,Closed,60 min,"Access revoked, account access reviewed"
INC0289,EVT008294,Failed Login,SOC Tier 3,In Progress,73 min,Pending review
INC0290,EVT006589,USB Device Connected,SOC Tier 2,In Progress,51 min,Pending review
INC0291,EVT008201,Failed Login,Incident Response Team,Closed,11 min,"Account temporarily locked, user verified"
INC0292,EVT009372,Brute Force,SOC Tier 2,Closed,63 min,Source IP blocked at firewall
INC0293,EVT006280,Port Scan,SOC Tier 1,In Progress,44 min,Pending review
INC0294,EVT003334,Failed Login,SOC Tier 1,Closed,42 min,"Account temporarily locked, user verified"
INC0295,EVT007760,SQL Injection Attempt,SOC Tier 3,Closed,32 min,"Request blocked, WAF rule updated"
INC0296,EVT007421,Brute Force,SOC Tier 2,Closed,21 min,Source IP blocked at firewall
INC0297,EVT006827,Port Scan,SOC Tier 3,In Progress,85 min,Pending review
INC0298,EVT001296,USB Device Connected,Incident Response Team,Open,44 min,Pending review
INC0299,EVT004050,SQL Injection Attempt,SOC Tier 3,Closed,70 min,"Request blocked, WAF rule updated"
INC0300,EVT008231,SQL Injection Attempt,Incident Response Team,Closed,89 min,"Request blocked, WAF rule updated"
INC0301,EVT008658,Login Success,Incident Response Team,Closed,79 min,"Reviewed, no action required"
INC0302,EVT005261,Login Success,SOC Tier 3,Closed,90 min,"Reviewed, no action required"
INC0303,EVT004962,File Access,Incident Response Team,Open,26 min,Pending review
INC0304,EVT000896,USB Device Connected,SOC Tier 3,Closed,40 min,"Device inspected, no threat found"
INC0305,EVT005653,Port Scan,Incident Response Team,Open,44 min,Pending review
INC0306,EVT001821,Login Success,Incident Response Team,Closed,82 min,"Reviewed, no action required"
INC0307,EVT001411,File Access,Incident Response Team,Closed,58 min,"Reviewed, no action required"
INC0308,EVT003258,Malware Detection,Incident Response Team,Open,39 min,Pending review
INC0309,EVT000901,SQL Injection Attempt,SOC Tier 2,Closed,62 min,"Request blocked, WAF rule updated"
INC0310,EVT004283,File Access,SOC Tier 2,Closed,74 min,"Reviewed, no action required"
INC0311,EVT007887,File Access,SOC Tier 2,Closed,15 min,"Reviewed, no action required"
INC0312,EVT001362,Phishing Email,SOC Tier 2,Closed,27 min,"Email quarantined, user notified"
